entity_id	entity_type	canonical_name	mention_count	vista_tsv	vista_key_column	vista_key_value	join_method	join_confidence
build:DG*5.3*1029	build	DG*5.3*1029	1				none	undetermined
build:DG*5.3*538	build	DG*5.3*538	1				none	undetermined
build:DG*5.3*557	build	DG*5.3*557	1				none	undetermined
build:DG*5.3*589	build	DG*5.3*589	1				none	undetermined
build:DG*5.3*615	build	DG*5.3*615	1				none	undetermined
build:DG*5.3*620	build	DG*5.3*620	1				none	undetermined
build:DG*5.3*707	build	DG*5.3*707	1				none	undetermined
build:DG*5.3*821	build	DG*5.3*821	1				none	undetermined
build:DG*5.3*825	build	DG*5.3*825	2				none	undetermined
build:DG*5.3*837	build	DG*5.3*837	2				none	undetermined
build:DG*5.3*857	build	DG*5.3*857	2				none	undetermined
build:DG*5.3*876	build	DG*5.3*876	1				none	undetermined
build:DG*5.3*902	build	DG*5.3*902	2				none	undetermined
build:DG*5.3*91	build	DG*5.3*91	1				none	undetermined
build:DG*5.3*952	build	DG*5.3*952	1				none	undetermined
build:DG*5.3*977	build	DG*5.3*977	2				none	undetermined
build:DI*21*38	build	DI*21*38	1				none	undetermined
build:DI*22.2*2	build	DI*22.2*2	2				none	undetermined
build:DI*22.2*3	build	DI*22.2*3	1				none	undetermined
build:DI*22.2*4	build	DI*22.2*4	2				none	undetermined
build:DI*22.2*6	build	DI*22.2*6	1				none	undetermined
build:EDP*2*20	build	EDP*2*20	2				none	undetermined
build:EDP*2.0*6	build	EDP*2.0*6	2				none	undetermined
build:FH*5*41	build	FH*5*41	1				none	undetermined
build:GMPL*2*36	build	GMPL*2*36	1				none	undetermined
build:GMPL*2.0*26	build	GMPL*2.0*26	1				none	undetermined
build:GMPL*2.0*49	build	GMPL*2.0*49	1				none	undetermined
build:GMRA*4.0*26	build	GMRA*4.0*26	1				none	undetermined
build:GMRA*4.0*37	build	GMRA*4.0*37	1				none	undetermined
build:GMRC*3*16	build	GMRC*3*16	3				none	undetermined
build:GMRC*3.0*123	build	GMRC*3.0*123	8				none	undetermined
build:GMRC*3.0*15	build	GMRC*3.0*15	1				none	undetermined
build:GMRC*3.0*18	build	GMRC*3.0*18	1				none	undetermined
build:GMRC*3.0*60	build	GMRC*3.0*60	2				none	undetermined
build:GMRV*5*22	build	GMRV*5*22	2				none	undetermined
build:GMRV*5.0*23	build	GMRV*5.0*23	1				none	undetermined
build:GMRV*5.0*3	build	GMRV*5.0*3	1				none	undetermined
build:GMTS*2.7*101	build	GMTS*2.7*101	4				none	undetermined
build:HBH*1*19	build	HBH*1*19	2				none	undetermined
build:HBH*1*6	build	HBH*1*6	5				none	undetermined
build:HBH*1*8	build	HBH*1*8	4				none	undetermined
build:HL*1.6*49	build	HL*1.6*49	2				none	undetermined
build:IB*2*488	build	IB*2*488	1				none	undetermined
build:IB*2.0*687	build	IB*2.0*687	1				none	undetermined
build:LA*5.2*64	build	LA*5.2*64	1				none	undetermined
build:LA*5.2*87	build	LA*5.2*87	1				none	undetermined
build:LA*5.2*90	build	LA*5.2*90	1				none	undetermined
build:LR*5.2*286	build	LR*5.2*286	1				none	undetermined
build:LR*5.2*425	build	LR*5.2*425	1				none	undetermined
build:LR*5.2*468	build	LR*5.2*468	1				none	undetermined
build:LR*5.2*474	build	LR*5.2*474	1				none	undetermined
build:LR*5.2*481	build	LR*5.2*481	1				none	undetermined
build:LR*5.2*548	build	LR*5.2*548	1				none	undetermined
build:LR*5.2*568	build	LR*5.2*568	1				none	undetermined
build:LR*5.2*97	build	LR*5.2*97	1				none	undetermined
build:MAG*3.0*104	build	MAG*3.0*104	1				none	undetermined
build:MAG*3.0*121	build	MAG*3.0*121	3				none	undetermined
build:MAG*3.0*130	build	MAG*3.0*130	1				none	undetermined
build:MAG*3.0*185	build	MAG*3.0*185	1				none	undetermined
build:MAG*3.0*189	build	MAG*3.0*189	1				none	undetermined
build:MAG*3.0*34	build	MAG*3.0*34	6				none	undetermined
build:MAG*3.0*83	build	MAG*3.0*83	1				none	undetermined
build:MD*1*16	build	MD*1*16	1				none	undetermined
build:MD*1.0*1	build	MD*1.0*1	1				none	undetermined
build:MD*1.0*11	build	MD*1.0*11	1				none	undetermined
build:MD*1.0*14	build	MD*1.0*14	1				none	undetermined
build:MD*1.0*2	build	MD*1.0*2	1				none	undetermined
build:MD*1.0*5	build	MD*1.0*5	2				none	undetermined
build:MD*1.0*6	build	MD*1.0*6	3				none	undetermined
build:MPI*1*38	build	MPI*1*38	6				none	undetermined
