package	kind	file_number	chunk	entity_name	source_path	byte_size
Accounts Receivable	file	340		AR DEBTOR	/opt/VistA-M/Packages/Accounts Receivable/Globals/340+AR DEBTOR.zwr	405
Accounts Receivable	file	340.5		AR REPAYMENT PLAN	/opt/VistA-M/Packages/Accounts Receivable/Globals/340.5+AR REPAYMENT PLAN.zwr	84
Accounts Receivable	file	340.501		AR RPP AUDIT LOG COMMENT	/opt/VistA-M/Packages/Accounts Receivable/Globals/340.501+AR RPP AUDIT LOG COMMENT.zwr	48
Accounts Receivable	file	340.7		AR METRICS	/opt/VistA-M/Packages/Accounts Receivable/Globals/340.7+AR METRICS.zwr	73
Accounts Receivable	file	341		AR EVENT	/opt/VistA-M/Packages/Accounts Receivable/Globals/341+AR EVENT.zwr	391
Accounts Receivable	file	341.1		AR EVENT TYPE	/opt/VistA-M/Packages/Accounts Receivable/Globals/341.1+AR EVENT TYPE.zwr	2047
Accounts Receivable	file	342		AR SITE PARAMETER	/opt/VistA-M/Packages/Accounts Receivable/Globals/342+AR SITE PARAMETER.zwr	1485
Accounts Receivable	file	342.1		AR GROUP	/opt/VistA-M/Packages/Accounts Receivable/Globals/342.1+AR GROUP.zwr	1648
Accounts Receivable	file	342.2		AR GROUP TYPE	/opt/VistA-M/Packages/Accounts Receivable/Globals/342.2+AR GROUP TYPE.zwr	1152
Accounts Receivable	file	342.3		AR USER CUSTOMIZE	/opt/VistA-M/Packages/Accounts Receivable/Globals/342.3+AR USER CUSTOMIZE.zwr	1721
Accounts Receivable	file	343		AR FORM LETTER	/opt/VistA-M/Packages/Accounts Receivable/Globals/343+AR FORM LETTER.zwr	110068
Accounts Receivable	file	344		AR BATCH PAYMENT	/opt/VistA-M/Packages/Accounts Receivable/Globals/344+AR BATCH PAYMENT.zwr	107
Accounts Receivable	file	344.1		AR DEPOSIT	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.1+AR DEPOSIT.zwr	2449
Accounts Receivable	file	344.2		AR PAYMENT TRANSACTIONS	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.2+AR PAYMENT TRANSACTIONS.zwr	96
Accounts Receivable	file	344.3		EDI LOCKBOX DEPOSIT	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.3+EDI LOCKBOX DEPOSIT.zwr	88
Accounts Receivable	file	344.31		EDI THIRD PARTY EFT DETAIL	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.31+EDI THIRD PARTY EFT DETAIL.zwr	105
Accounts Receivable	file	344.4		ELECTRONIC REMITTANCE ADVICE	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.4+ELECTRONIC REMITTANCE ADVICE.zwr	106
Accounts Receivable	file	344.49		EDI LOCKBOX EOB WORKLIST	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.49+EDI LOCKBOX EOB WORKLIST.zwr	100
Accounts Receivable	file	344.5		AR EDI LOCKBOX MESSAGES	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.5+AR EDI LOCKBOX MESSAGES.zwr	95
Accounts Receivable	file	344.6		RCDPE AUTO-PAY EXCLUSION	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.6+RCDPE AUTO-PAY EXCLUSION.zwr	99
Accounts Receivable	file	344.61		RCDPE PARAMETER	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.61+RCDPE PARAMETER.zwr	211
Accounts Receivable	file	344.62		RCDPE CARC-RARC AUTO DEC	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.62+RCDPE CARC-RARC AUTO DEC.zwr	100
Accounts Receivable	file	344.7		RCDPE PARAMETER AUDIT	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.7+RCDPE PARAMETER AUDIT.zwr	45
Accounts Receivable	file	344.71		RCDPE SUSPENSE AUDIT	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.71+RCDPE SUSPENSE AUDIT.zwr	44
Accounts Receivable	file	344.72		RCDPE AUTO-POST AUDIT	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.72+RCDPE AUTO-POST AUDIT.zwr	45
Accounts Receivable	file	344.73		RCDPE COMMENT HISTORY	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.73+RCDPE COMMENT HISTORY.zwr	94
Accounts Receivable	file	344.74		RCDPE FIRST PARTY CHARGE QUEUE	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.74+RCDPE FIRST PARTY CHARGE QUEUE.zwr	112
Accounts Receivable	file	344.9		RCDPE DM REPORT PARAMETERS	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.9+RCDPE DM REPORT PARAMETERS.zwr	320
Accounts Receivable	file	344.91		RCDPE DM REPORT ARCHIVE	/opt/VistA-M/Packages/Accounts Receivable/Globals/344.91+RCDPE DM REPORT ARCHIVE.zwr	98
Accounts Receivable	file	345		AR EDI CARC DATA	/opt/VistA-M/Packages/Accounts Receivable/Globals/345+AR EDI CARC DATA.zwr	103570
Accounts Receivable	file	345.1		AR PLB ADJUST CODE	/opt/VistA-M/Packages/Accounts Receivable/Globals/345.1+AR PLB ADJUST CODE.zwr	3252
Accounts Receivable	file	346		AR EDI RARC DATA	/opt/VistA-M/Packages/Accounts Receivable/Globals/346+AR EDI RARC DATA.zwr	261648
Accounts Receivable	file	347		AR FMS DOCUMENT	/opt/VistA-M/Packages/Accounts Receivable/Globals/347+AR FMS DOCUMENT.zwr	104
