source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
A1BF Response Time	A1BF Response Time	30	10	18
A1BF Response Time	Kernel	4	3	2
A1BF Response Time	MailMan	6	6	1
A1BF Response Time	VA FileMan	30	11	5
A4AR Registration	A4AR Registration	24	13	11
A4AR Registration	Accounts Receivable	13	7	4
A4AR Registration	Kernel	2	2	1
A4AR Registration	MailMan	2	2	1
A4AR Registration	VA FileMan	13	9	2
Accounts Receivable	Accounts Receivable	2944	550	478
Accounts Receivable	DRG Grouper	2	1	1
Accounts Receivable	E Claims Management Engine	4	4	1
Accounts Receivable	Generic Code Sheet	84	29	5
Accounts Receivable	Health Level Seven	12	12	2
Accounts Receivable	IFCAP	20	9	11
Accounts Receivable	Integrated Billing	124	77	40
Accounts Receivable	Kernel	706	358	22
Accounts Receivable	List Manager	248	105	4
Accounts Receivable	MailMan	114	93	13
Accounts Receivable	National Drug File	1	1	1
Accounts Receivable	Outpatient Pharmacy	12	12	4
Accounts Receivable	Registration	161	98	20
Accounts Receivable	Toolkit	17	10	3
Accounts Receivable	VA FileMan	1727	613	37
Advanced Medication Platform	Kernel	8	2	8
Advanced Medication Platform	MailMan	2	2	1
Advanced Medication Platform	Registration	1	1	1
Advanced Medication Platform	VA FileMan	7	2	5
Adverse Reaction Tracking	Adverse Reaction Tracking	431	112	94
Adverse Reaction Tracking	General Medical Record - Vitals	1	1	1
Adverse Reaction Tracking	Health Data and Informatics	3	2	3
Adverse Reaction Tracking	Health Summary	1	1	1
Adverse Reaction Tracking	Inpatient Medications	1	1	1
Adverse Reaction Tracking	Kernel	213	102	13
Adverse Reaction Tracking	List Manager	25	5	4
Adverse Reaction Tracking	MailMan	30	25	8
Adverse Reaction Tracking	National Drug File	48	22	6
Adverse Reaction Tracking	Order Entry Results Reporting	16	4	8
Adverse Reaction Tracking	Outpatient Pharmacy	1	1	1
Adverse Reaction Tracking	Pharmacy Data Management	3	3	1
Adverse Reaction Tracking	RPC Broker	4	4	1
Adverse Reaction Tracking	Registration	65	46	5
Adverse Reaction Tracking	Scheduling	7	1	1
Adverse Reaction Tracking	Text Integration Utility	3	1	3
Adverse Reaction Tracking	Toolkit	8	8	1
Adverse Reaction Tracking	VA FileMan	306	136	18
Adverse Reaction Tracking	VDEF	14	6	4
Albany OIFO	Albany OIFO	61	22	32
Albany OIFO	Income Verification Match	2	2	1
Albany OIFO	MailMan	9	9	1
Albany OIFO	Registration	57	21	15
Albany OIFO	VA FileMan	142	54	21
Asists	Asists	197	55	51
Asists	Kernel	62	33	8
Asists	MailMan	12	6	4
Asists	RPC Broker	1	1	1
Asists	VA FileMan	244	72	16
Authorization Subscription	Authorization Subscription	64	21	17
Authorization Subscription	Enterprise Health Management Platform	2	2	1
Authorization Subscription	Kernel	16	11	6
Authorization Subscription	List Manager	39	15	5
Authorization Subscription	MailMan	1	1	1
Authorization Subscription	RPC Broker	1	1	1
Authorization Subscription	Text Integration Utility	1	1	1
Authorization Subscription	VA FileMan	37	20	9
Auto Replenishment Ward Stock	Auto Replenishment Ward Stock	151	65	43
Auto Replenishment Ward Stock	Drug Accountability	1	1	1
Auto Replenishment Ward Stock	MailMan	8	8	1
Auto Replenishment Ward Stock	Toolkit	3	3	1
Auto Replenishment Ward Stock	VA FileMan	186	86	10
Automated Information Collection System	Accounts Receivable	1	1	1
Automated Information Collection System	Adverse Reaction Tracking	1	1	1
Automated Information Collection System	Automated Information Collection System	1013	308	279
Automated Information Collection System	CPT HCPCS Codes	20	15	2
Automated Information Collection System	Clinical Reminders	1	1	1
Automated Information Collection System	DRG Grouper	17	11	3
Automated Information Collection System	General Medical Record - Vitals	2	1	1
Automated Information Collection System	Health Summary	3	1	3
Automated Information Collection System	Integrated Billing	5	4	3
Automated Information Collection System	Kernel	148	99	6
Automated Information Collection System	Lexicon Utility	17	8	5
Automated Information Collection System	List Manager	203	91	5
Automated Information Collection System	MailMan	6	6	1
Automated Information Collection System	Mental Health	2	2	1
Automated Information Collection System	Order Entry Results Reporting	1	1	1
Automated Information Collection System	Outpatient Pharmacy	1	1	1
Automated Information Collection System	PCE Patient Care Encounter	13	5	3
Automated Information Collection System	Registration	39	23	9
Automated Information Collection System	Scheduling	26	9	12
Automated Information Collection System	VA FileMan	1210	235	33
Automated Lab Instruments	Automated Lab Instruments	1299	292	151
Automated Lab Instruments	CPT HCPCS Codes	1	1	1
Automated Lab Instruments	Health Data and Informatics	1	1	1
Automated Lab Instruments	Health Level Seven	40	19	9
Automated Lab Instruments	Kernel	310	131	21
Automated Lab Instruments	Lab Service	160	81	39
Automated Lab Instruments	Lexicon Utility	3	3	1
Automated Lab Instruments	MailMan	14	12	5
Automated Lab Instruments	Master Patient Index VistA	7	4	1
Automated Lab Instruments	Registration	35	17	8
Automated Lab Instruments	Scheduling	1	1	1
Automated Lab Instruments	Toolkit	16	11	3
Automated Lab Instruments	VA FileMan	408	169	24
Automated Medical Information Exchange	Automated Medical Information Exchange	742	202	164
Automated Medical Information Exchange	CORBA Services	1	1	1
Automated Medical Information Exchange	Fee Basis	4	1	4
Automated Medical Information Exchange	HINQ	14	6	4
Automated Medical Information Exchange	Health Level Seven	12	6	3
Automated Medical Information Exchange	Income Verification Match	12	6	2
Automated Medical Information Exchange	Kernel	283	154	18
Automated Medical Information Exchange	Lab Service	4	1	2
Automated Medical Information Exchange	List Manager	24	7	6
Automated Medical Information Exchange	M XML Parser	2	2	1
Automated Medical Information Exchange	MailMan	37	29	7
Automated Medical Information Exchange	Master Patient Index VistA	4	4	2
Automated Medical Information Exchange	ODS	4	4	1
Automated Medical Information Exchange	Order Entry Results Reporting	5	3	4
Automated Medical Information Exchange	PCE Patient Care Encounter	2	1	1
Automated Medical Information Exchange	Pharmacy Data Management	1	1	1
Automated Medical Information Exchange	RPC Broker	3	3	2
Automated Medical Information Exchange	Radiology Nuclear Medicine	1	1	1
Automated Medical Information Exchange	Registration	104	50	27
Automated Medical Information Exchange	Scheduling	19	10	6
Automated Medical Information Exchange	Surgery	2	1	2
Automated Medical Information Exchange	Toolkit	41	31	1
Automated Medical Information Exchange	VA FileMan	677	239	34
Automated Medical Information Exchange	Web Services Client	5	3	1
Barcode Medication Administration	Adverse Reaction Tracking	5	4	2
