package	routine_count	total_lines	files_shipped	p_files	i_files	k_files	s_files	rpc_routines	option_routines	distinct_globals_touched	outbound_edges	outbound_cross_pkg
A1BF Response Time	26	1235	0	0	0	0	0	0	3	10	78	40
A4AR Registration	18	1076	0	0	0	0	0	0	0	3	77	30
Accounts Receivable	776	102686	61	9	27	11	14	0	122	47	6650	3232
Advanced Medication Platform	2	302	0	0	0	0	0	0	1	4	20	18
Adverse Reaction Tracking	171	12366	8	8	0	0	0	0	28	18	1220	749
Albany OIFO	85	3711	0	0	0	0	0	0	4	37	309	210
Asists	89	10397	32	0	32	0	0	15	2	10	546	319
Authorization Subscription	36	2199	7	0	1	0	6	0	0	10	162	97
Auto Replenishment Ward Stock	105	3560	18	2	4	9	3	0	59	12	457	198
Automated Information Collection System	3147	410451	40	39	1	0	0	7	20	37	2820	1716
Automated Lab Instruments	396	38526	11	0	2	7	2	0	43	24	2418	996
Automated Medical Information Exchange	977	86888	22	21	1	0	0	57	57	37	2538	1261
Barcode Medication Administration	132	20583	8	5	1	0	2	23	22	23	1341	732
Beneficiary Travel	67	6920	14	4	10	0	0	1	17	15	518	343
Birmingham CIOFO	20	624	0	0	0	0	0	0	13	12	61	41
CMOP	143	11305	3	0	2	0	1	0	17	20	1176	708
CORBA Services	2	805	0	0	0	0	0	0	0	2	11	5
CPT HCPCS Codes	55	10243	2	0	0	1	1	0	1	7	105	71
CW GUIMAIL	16	1351	0	0	0	0	0	1	0	6	142	84
Capacity Management	111	16234	10	0	3	0	7	8	27	29	815	367
Care Management	3	254	3	1	2	0	0	2	0	9	22	21
Clinical Case Registries	247	46386	20	16	4	0	0	31	7	27	2916	1014
Clinical Information Resource Network	125	11068	7	1	1	0	5	3	16	41	950	713
Clinical Monitoring System	79	3264	9	1	0	0	8	0	24	21	289	159
Clinical Procedures	141	15187	43	29	7	3	4	18	11	29	1117	794
Clinical Reminders	519	75285	32	27	5	0	0	6	39	67	4335	1870
Consult Request Tracking	225	26609	8	4	4	0	0	3	36	27	1829	1093
Controlled Substances	299	15553	7	2	2	3	0	0	122	22	1825	1154
Credentials Tracking	2	25	0	0	0	0	0	0	0	0	1	1
DRG Grouper	507	66341	27	0	0	26	1	0	2	30	1394	660
DSS Extracts	307	31301	37	22	7	3	5	0	100	59	2264	1208
Dental	147	12561	27	11	3	5	8	30	25	19	941	514
Dietetics	635	64650	47	40	7	0	0	0	164	27	2408	902
Drug Accountability	202	14781	7	1	0	6	0	1	59	18	1006	523
E Claims Management Engine	217	35571	44	40	4	0	0	4	16	24	2061	717
EEO Complaint Tracking	29	1743	7	0	7	0	0	0	0	10	129	61
Electronic Health Modernization	15	3578	3	0	0	0	2	0	1	17	215	77
Electronic Signature	1	204	0	0	0	0	0	1	0	0	7	7
Emergency Department Integration Software	81	8533	20	15	5	0	0	3	1	29	669	270
