package	package_name	namespace	prefixes	app_code	vdl_id
A1BF Response Time	A1BF RESPONSE TIME	A1BF	A1BF	A1BF	
A4AR Registration	A4AR REGISTRATION	A4AR	A4AR	A4AR	
Accounts Receivable	ACCOUNTS RECEIVABLE	PRCA	PRCA,PRY,RC	PRCA	29
Advanced Medication Platform	ADVANCED MEDICATION PLATFORM	PREA	PREA	PREA	237
Adverse Reaction Tracking	ADVERSE REACTION TRACKING	GMRA	GMRA,GMA	GMRA	57
Albany OIFO	ALBANY OIFO	A1	A1,!A1AX,!A1BF,!A1BM,!A1AE,!A1B2,!A1VS	A1	
Asists	ASISTS	OOPS	OOPS	OOPS	56
Authorization Subscription	AUTHORIZATION/SUBSCRIPTION	USR	USR	USR	58
Auto Replenishment Ward Stock	AUTO REPLENISHMENT/WARD STOCK	PSGW	PSGW	PSGW	83
Automated Information Collection System	AUTOMATED INFO COLLECTION SYS	IBD	IBD	IBD	30
Automated Lab Instruments	AUTOMATED LAB INSTRUMENTS	LA	LA	LA	71
Automated Medical Information Exchange	AUTOMATED MED INFO EXCHANGE	DVBA	DVBA,DVBC	DVBA	31
Barcode Medication Administration	BAR CODE MED ADMIN	PSB	PSB,ALPB	PSB	84
Beneficiary Travel	BENEFICIARY TRAVEL	DGBT	DGBT	DGBT	123
Birmingham CIOFO	BIRMINGHAM CIOFO	A3	A3	A3	
CMOP	CMOP	PSX	PSX	PSX	85
CORBA Services	CORBA SERVICES	OMG	OMG	OMG	
CPT HCPCS Codes	CPT/HCPCS CODES	ICPT	ICPT,DGYA	ICPT	33
CW GUIMAIL	CW GUIMAIL	CWMA	CWMA	CWMA	
Capacity Management	CAPACITY MANAGEMENT	KMP	KMP,A1B5	KMP	129
Care Management	CARE MANAGEMENT	ORRC	ORRC	ORRC	138
Clinical Case Registries	CLINICAL CASE REGISTRIES	ROR	ROR,IMR	ROR	126
Clinical Information Resource Network	CLINICAL INFO RESOURCE NETWORK	RG	RG,MRF,!RGED,!RGUT,!RGWB	RG	16
Clinical Monitoring System	CLINICAL MONITORING SYSTEM	QAM	QAM	QAM	32
Clinical Procedures	CLINICAL PROCEDURES	MD	MD	MD	139
Clinical Reminders	CLINICAL REMINDERS	PXRM	PXRM	PXRM	60
Consult Request Tracking	CONSULT/REQUEST TRACKING	GMRC	GMRC,GMRS,GMRT	GMRC	62
Controlled Substances	CONTROLLED SUBSTANCES	PSD	PSD	PSD	86
Credentials Tracking	CREDENTIALS TRACKING	QAR	QAR	QAR	
DRG Grouper	DRG GROUPER	ICD	ICD,IC,!ICPT	ICD	36
DSS Extracts	DSS EXTRACTS	ECX	ECX	ECX	35
Dental	DENTAL	DENT	DENT,DENB,DENC	DENT	66
Dietetics	DIETETICS	FH	FH	FH	67
Drug Accountability	DRUG ACCOUNTABILITY	PSA	PSA	PSA	87
E Claims Management Engine	E CLAIMS MGMT ENGINE	BPS	BPS	BPS	141
EEO Complaint Tracking	EEO COMPLAINT TRACKING	EEO	EEO	EEO	
Electronic Health Modernization	ELECTRONIC HEALTH MODERNIZATION	EHM	EHM	EHM	439
Electronic Signature	ELECTRONIC SIGNATURE	XOBE	XOBE	XOBE	171
Emergency Department Integration Software	EMERGENCY DEPARTMENT INTEGRATION SOFTWARE	EDP	EDP	EDP	179
Engineering	ENGINEERING	EN	EN	EN	37
Enrollment Application System	ENROLLMENT APPLICATION SYSTEM	EAS	EAS	EAS	121
Enterprise Health Management Platform	ENTERPRISE HEALTH MANAGEMENT PLATFORM	HMP	HMP	HMP	
Enterprise Support Solution	ENTERPRISE SUPPORT SOLUTION	FSES	FSES	FSES	
Enterprise Terminology Services	ENTERPRISE TERMINOLOGY SERVICES	ETS	ETS	ETS	
Equipment Turn-In Request	EQUIPMENT/TURN-IN REQUIEST	PRCN	PRCN	PRCN	113
Event Capture	EVENT CAPTURE	EC	EC,!ECT,!ECX	EC	39
Event Driven Reporting	EVENT DRIVEN REPORTING	EDR	EDR	EDR	
Ext Rev Track	EXT REV TRACK	A1AX	A1AX	A1AX	
Fee Basis	FEE BASIS	FB	FB	FB	40
