protocol_name	protocol_package	action_kind	callee_tag	callee_routine	call_kind	ref_count
AXAPCH ALL PACKAGES		entry	AL	AXAPCH	do	1
AXAPCH ANY STATUS		entry	AS	AXAPCH	do	1
AXAPCH APPROVE		entry	OK	AXAPCH	do	1
AXAPCH BROWSE DESCRIPTION		entry	BD	AXAPCH	do	1
AXAPCH BROWSE NOTES		entry	BN	AXAPCH	do	1
AXAPCH CHANGE STATUS		entry	CS	AXAPCH	do	1
AXAPCH DOCUMENT INSTALL		entry	DI	AXAPCH	do	1
AXAPCH EDIT PATCH PACKAGE		entry	PP	AXAPCH	do	1
AXAPCH MAKE NOTE		entry	MN	AXAPCH	do	1
AXAPCH ONE PATCH		entry	OP	AXAPCH	do	1
AXAPCH PR		entry	PR	AXAPCH	do	1
AXAPCH SELECT PACKAGE		entry	SP	AXAPCH	do	1
AXAPCH SELECT PERSON		entry	AP	AXAPCH	do	1
AXAPCH SELECT STATUS		entry	SS	AXAPCH	do	1
AXAPCH TOGGLE ORDER		entry	RV	AXAPCH	do	1
BPS AUTO CLOSE REJECT EC		entry	EC	BPSACR	do	1
BPS AUTO CLOSE REJECT EXIT		entry	EXIT	BPSACR	do	1
BPS OPECC REJECT INFO MEDICATION PROFILE		entry	MP	BPSSCRRJ	do	1
BPS OPECC REJECT INFO PATIENT INFORMATION		entry	PI	BPSSCRRJ	do	1
BPS OPECC REJECT INFO VIEW RX		entry	VIEW	BPSSCRRJ	do	1
BPS OPECC REJECT VIEW ECME RX	E CLAIMS MGMT ENGINE	entry	VER	BPSSCRRJ	do	1
BPS P2 CONTINUOUS		entry	CONTUPD	BPSOS2	do	1
BPS P2 UPDATE		entry	UPD	BPSOS2	do	1
BPS P2 ZERO		entry	ZERO	BPSOS2A	do	1
BPS PRTCL CMT ADD		entry	ADD	BPSCMT01	do	1
BPS PRTCL CMT ADD PHARM		entry	ADDP	BPSCMT01	do	1
BPS PRTCL IBCNR EDIT PLAN		entry		IBCNRE4	do	1
BPS PRTCL IBCNR GROUP PLAN MATCH		entry	EN	IBCNRPM1	do	1
BPS PRTCL IBCNR PLAN MATCH		entry	EN	IBCNRPMT	do	1
