caller_routine	caller_package	callee_tag	callee_routine	kind	ref_count
A1A1EXT	Albany OIFO		%ZTLOAD	do	1
A1A1EXT	Albany OIFO		DIC	do	3
A1A1EXT	Albany OIFO		DIE	do	2
A1A1EXT	Albany OIFO	DD	%DT	do	1
A1A1EXT	Albany OIFO	END	A1A1MAIL	do	1
A1A1EXT	Albany OIFO	FILE	DICN	do	1
A1A1EXT	Albany OIFO	GETDATA	A1A1EXT1	do	2
A1A1EXT	Albany OIFO	MAIL	A1A1MAIL	do	1
A1A1EXT	Albany OIFO	NOW	%DTC	do	1
A1A1EXT	Albany OIFO	PROVDATA	A1A1FMT0	do	2
A1A1EXT1	Albany OIFO		%DTC	do	1
A1A1EXT1	Albany OIFO		A1A1FMT	do	1
A1A1EXT1	Albany OIFO	LAST	A1A1FMT1	do	1
A1A1EXT1	Albany OIFO	PRIM	VASITE	func	1
A1A1EXT1	Albany OIFO	SITE	VASITE	func	1
A1A1FMT	Albany OIFO	DATE	A1A1FMT1	func	4
A1A1FMT	Albany OIFO	FRMT	A1A1FMT1	func	34
A1A1FMT0	Albany OIFO	FRMT	A1A1FMT1	func	8
A1A1FMT0	Albany OIFO	LAST	A1A1FMT1	do	1
A1A1FMT0	Albany OIFO	POINTER	A1A1EXT1	func	2
A1A1FMT0	Albany OIFO	PRIM	VASITE	func	1
A1A1FMT0	Albany OIFO	SITE	VASITE	func	1
A1A1MAIL	Albany OIFO		XMD	do	4
A1A1MAIL	Albany OIFO	DD	%DT	do	2
A1A1MAIL	Albany OIFO	NOW	%DTC	do	1
A1A1MAIL	Albany OIFO	PRIM	VASITE	func	1
A1A1OIG	Albany OIFO		%ZTLOAD	do	1
A1A1OIG	Albany OIFO		DIC	do	1
A1A1OIG	Albany OIFO		DIE	do	1
A1A1OIG	Albany OIFO	ADM	VADPT2	do	1
A1A1OIG	Albany OIFO	BULL	A1A1OIG1	do	1
A1A1OIG	Albany OIFO	MAIL	A1A1OIG1	do	1
A1A1OIG	Albany OIFO	NOW	%DTC	do	1
A1A1OIG	Albany OIFO	SITE	VASITE	func	1
A1A1OIG1	Albany OIFO		XMD	do	2
A1A1OIG1	Albany OIFO	DATE	A1A1OIG	func	1
A1A1OIG1	Albany OIFO	NOW	%DTC	do	1
A1A3GRP	Albany OIFO		DIE	do	1
A1A3POST	Albany OIFO		%DT	do	1
A1A3PRE	Albany OIFO		DIC	do	1
A1A3PRE	Albany OIFO		DIE	do	1
A1AAE1	Albany OIFO		%DT	do	2
A1AAE1	Albany OIFO		%ZIS	do	1
A1AAE1	Albany OIFO		%ZTLOAD	do	1
A1AAE1	Albany OIFO		DIC	do	1
A1AAE1	Albany OIFO	EN	A1AAE3	do	1
A1AIGC	Albany OIFO		%ZIS	do	1
A1AIGC	Albany OIFO		A1AIDATA	do	1
A1AIGC	Albany OIFO		A1AIEXT	do	1
A1AIGC	Albany OIFO		A1AIFD	do	1
A1AIGC	Albany OIFO		DIC	do	1
A1AIGC	Albany OIFO	IXALL	DIK	do	1
A1AIGC	Albany OIFO	YN	DICN	do	4
A1AJAS	Albany OIFO		XMD	do	1
A1AJAS	Albany OIFO	DD	%DT	do	1
A1AJAS	Albany OIFO	NOW	%DTC	do	1
