routine_name	package	global_name	ref_count
A1A1EXT	Albany OIFO	DD	1
A1A1EXT	Albany OIFO	DIC	2
A1A1EXT	Albany OIFO	PS	1
A1A1EXT	Albany OIFO	PSNDF	27
A1A1EXT	Albany OIFO	TMP	9
A1A1EXT	Albany OIFO	VA	4
A1A1EXT	Albany OIFO	XUSEC	1
A1A1EXT1	Albany OIFO	DG	1
A1A1EXT1	Albany OIFO	DIC	1
A1A1EXT1	Albany OIFO	DPT	9
A1A1EXT1	Albany OIFO	PSDRUG	2
A1A1EXT1	Albany OIFO	PSRX	9
A1A1EXT1	Albany OIFO	SC	1
A1A1EXT1	Albany OIFO	SOWK	1
A1A1EXT1	Albany OIFO	TMP	1
A1A1EXT1	Albany OIFO	VA	2
A1A1FMT0	Albany OIFO	DG	1
A1A1FMT0	Albany OIFO	TMP	1
A1A1FMT0	Albany OIFO	VA	3
A1A1FMT1	Albany OIFO	TMP	16
A1A1MAIL	Albany OIFO	DG	1
A1A1MAIL	Albany OIFO	TMP	2
A1A1NTEG	Albany OIFO	%ZOSF	3
A1A1NTEG	Albany OIFO	UTILITY	1
A1A1OIG	Albany OIFO	DD	1
A1A1OIG	Albany OIFO	DG	1
A1A1OIG	Albany OIFO	DGPM	3
A1A1OIG	Albany OIFO	DGPT	2
A1A1OIG	Albany OIFO	DIC	2
A1A1OIG	Albany OIFO	DPT	3
A1A1OIG	Albany OIFO	ICD9	1
A1A1OIG	Albany OIFO	TMP	5
A1A1OIG	Albany OIFO	VA	1
A1A1OIG1	Albany OIFO	TMP	1
A1A3GRP	Albany OIFO	ICPT	2
A1A3GRP	Albany OIFO	SD	2
A1A3POST	Albany OIFO	DD	1
A1A3POST	Albany OIFO	DG	1
A1A3POST	Albany OIFO	DIC	3
A1A3POST	Albany OIFO	DPT	1
A1A3POST	Albany OIFO	ICPT	2
A1A3POST	Albany OIFO	SDV	4
A1A3PRE	Albany OIFO	DD	1
A1A3PRE	Albany OIFO	DIC	2
A1AAE1	Albany OIFO	DD	1
A1AAE1	Albany OIFO	UTILITY	1
A1AAE2	Albany OIFO	%ZIS	1
A1AAE2	Albany OIFO	DD	1
A1AAE2	Albany OIFO	DIC	1
A1AAE2	Albany OIFO	DIZ	18
A1AAE2	Albany OIFO	UTILITY	11
A1AAE3	Albany OIFO	%ZIS	1
A1AAE3	Albany OIFO	DD	1
A1AAE3	Albany OIFO	DIC	1
A1AAE3	Albany OIFO	DIZ	18
A1AAE3	Albany OIFO	UTILITY	10
A1AIDATA	Albany OIFO	DD	1
A1AIEXT	Albany OIFO	UTILITY	8
A1AIFD	Albany OIFO	DIZ	9
A1AIFD	Albany OIFO	UTILITY	7
A1AIGC	Albany OIFO	UTILITY	8
A1AJAS	Albany OIFO	%ZOSF	1
A1AJAS	Albany OIFO	A1AJAS	12
A1AJAS	Albany OIFO	DIC	1
A1AJAS	Albany OIFO	XTV	1
A1AJASN	Albany OIFO	DIC	1
A1AJASN	Albany OIFO	XTV	1
A1AT1	Albany OIFO	DIZ	6
A1AT1	Albany OIFO	UTILITY	16
A1AT2	Albany OIFO	%ZIS	1
A1AT2	Albany OIFO	DIZ	6
A1AT2	Albany OIFO	UTILITY	19
A1AT3	Albany OIFO	%ZIS	1
A1AT3	Albany OIFO	DIZ	6
A1AT3	Albany OIFO	UTILITY	19
A1ATRAT	Albany OIFO	UTILITY	2
A1ATRAT2	Albany OIFO	UTILITY	2
A1ATSUM	Albany OIFO	UTILITY	2
A1ATSUM2	Albany OIFO	UTILITY	2
A1AVSRCH	Albany OIFO	DIC	2
A1AXAC	Ext Rev Track	DIZ	1
A1AXACD	Ext Rev Track	DIPT	1
A1AXACD	Ext Rev Track	DIZ	18
A1AXACD	Ext Rev Track	UTILITY	1
A1AXACF	Ext Rev Track	DIPT	1
A1AXACF	Ext Rev Track	DIZ	18
A1AXACF	Ext Rev Track	UTILITY	1
A1AXACO	Ext Rev Track	DIPT	1
A1AXACO	Ext Rev Track	DIZ	18
A1AXACO	Ext Rev Track	UTILITY	1
A1AXAPCO	Ext Rev Track	DD	1
A1AXAPCO	Ext Rev Track	DIC	1
A1AXAPCO	Ext Rev Track	DIZ	4
A1AXAPCO	Ext Rev Track	UTILITY	7
A1AXAPCO	Ext Rev Track	XMB	4
A1AXAPRD	Ext Rev Track	DD	2
A1AXAPRD	Ext Rev Track	DIC	2
A1AXAPRD	Ext Rev Track	DIZ	12
A1AXAPRD	Ext Rev Track	UTILITY	22
A1AXAPRD	Ext Rev Track	XMB	4
A1AXCAT	Ext Rev Track	%ZIS	1
A1AXCAT	Ext Rev Track	DIZ	15
A1AXCAT	Ext Rev Track	UTILITY	8
A1AXCAT1	Ext Rev Track	DIZ	11
A1AXCAT1	Ext Rev Track	UTILITY	3
A1AXCAT2	Ext Rev Track	DIZ	7
A1AXCAT2	Ext Rev Track	UTILITY	8
A1AXCN	Ext Rev Track	%ZIS	1
A1AXCN	Ext Rev Track	%ZTSK	1
A1AXCN	Ext Rev Track	DIZ	5
A1AXCN	Ext Rev Track	UTILITY	2
A1AXCNP1	Ext Rev Track	DIZ	1
A1AXCNP2	Ext Rev Track	UTILITY	22
A1AXCNRK	Ext Rev Track	UTILITY	12
A1AXCNSM	Ext Rev Track	UTILITY	23
A1AXCNST	Ext Rev Track	DIZ	16
A1AXCNST	Ext Rev Track	UTILITY	19
A1AXCRRD	Ext Rev Track	DD	1
A1AXCRRD	Ext Rev Track	DIC	1
A1AXCRRD	Ext Rev Track	DIZ	9
A1AXCRRD	Ext Rev Track	UTILITY	13
A1AXCRRD	Ext Rev Track	XMB	2
A1AXCRST	Ext Rev Track	DIC	1
A1AXCRST	Ext Rev Track	DIZ	1
A1AXCRST	Ext Rev Track	UTILITY	1
A1AXCRST	Ext Rev Track	XMB	2
A1AXCTS	Ext Rev Track	%ZIS	1
A1AXCTS	Ext Rev Track	DIZ	9
A1AXCTS	Ext Rev Track	UTILITY	6
A1AXCTS1	Ext Rev Track	DIZ	12
A1AXCTS1	Ext Rev Track	UTILITY	3
A1AXCTS2	Ext Rev Track	DIZ	6
A1AXCTS2	Ext Rev Track	UTILITY	7
A1AXED	Ext Rev Track	DIC	1
A1AXED	Ext Rev Track	DIZ	8
A1AXEDAC	Ext Rev Track	DIC	1
A1AXEDAC	Ext Rev Track	DIZ	4
A1AXEDAP	Ext Rev Track	DIC	1
A1AXEDAP	Ext Rev Track	DIZ	4
A1AXEDIT	Ext Rev Track	DIC	1
A1AXEDIT	Ext Rev Track	DIZ	7
A1AXEDQK	Ext Rev Track	DIC	1
A1AXEDQK	Ext Rev Track	DIZ	8
A1AXEDRD	Ext Rev Track	DIC	1
A1AXEDRD	Ext Rev Track	DIZ	8
A1AXFS	Ext Rev Track	%ZIS	1
A1AXFS	Ext Rev Track	DIZ	15
A1AXFS	Ext Rev Track	UTILITY	11
A1AXFS1	Ext Rev Track	DIZ	11
A1AXFS1	Ext Rev Track	UTILITY	23
A1AXFS2	Ext Rev Track	DIZ	3
A1AXFS2	Ext Rev Track	UTILITY	10
A1AXFSS	Ext Rev Track	%ZIS	1
