routine_name	package	source_path	line_count	byte_size	tag_count	comment_line_count	version_line	is_percent_routine	in_file_9_8	file_9_8_type	rpc_count	option_count	protocol_invoked_count	out_degree	in_degree	out_calls_total	in_calls_total	distinct_globals_touched	global_ref_total
%DT	VA FileMan	/opt/VistA-M/o/_DT.m	118	5538	32	13	;;22.2;VA FileMan;**14**;Jan 05, 2016;Build 8	Y	N		0	0	0	0	3462	0	6136	0	0
%DTC	VA FileMan	/opt/VistA-M/o/_DTC.m	143	5359	27	31	;;22.2;VA FileMan;;Jan 05, 2016;Build 42	Y	N		0	0	2	0	4149	0	6798	0	0
%RCR	VA FileMan	/opt/VistA-M/o/_RCR.m	56	2093	13	11	;;22.2;VA FileMan;;Jan 05, 2016;Build 42	Y	N		0	0	0	0	317	0	548	0	0
%XUCI	Kernel	/opt/VistA-M/o/_XUCI.m	36	1281	13	11	;;8.0;KERNEL;**275**;Jul 10, 1995;	Y	N		0	0	0	0	16	0	17	0	0
%YDBOCTOVISTAM		/opt/VistA-M/r/_YDBOCTOVISTAM.m	563	21239	15	220	;;1.12;YOTTADB OCTO VISTA UTILITIES;;Sep 22, 2012	Y	N		0	0	0	0	0	0	0	0	0
%ZIS4	Kernel	/opt/VistA-M/o/_ZIS4.m	110	4434	28	17	;;8.0;KERNEL;**275,425,440,499**;Jul 10, 1995;Build 14	Y	N		0	0	0	0	7	0	12	0	0
%ZISF	Kernel	/opt/VistA-M/o/_ZISF.m	66	2450	12	13	;;8.0;KERNEL;**275,499**;Jul 10, 1995;Build 14	Y	N		0	0	0	0	16	0	18	0	0
%ZISH	Kernel	/opt/VistA-M/o/_ZISH.m	361	11099	34	140	;;8.0;KERNEL;**275,306,385,524,10001,10002,10004,10005**;Jul 10, 1995;Build 10	Y	N		0	0	0	0	206	0	917	0	0
%ZISTCPS	Kernel	/opt/VistA-M/o/_ZISTCPS.m	119	3614	13	28	;;8.0;KERNEL;**78,118,127,225,275,388,10001**;Jul 10, 1995	Y	N		0	0	0	0	8	0	8	0	0
%ZOSV	Kernel	/opt/VistA-M/o/_ZOSV.m	282	8686	45	80	;;8.0;KERNEL;**275,425,499,10001,10002,10004,10005**;Jul 10, 1995;Build 10	Y	N		0	1	0	0	412	0	857	0	0
%ZOSV2	Kernel	/opt/VistA-M/o/_ZOSV2.m	90	3210	9	24	;;8.0;KERNEL;**275,425,10001**;Jul 10, 1995;Build 8	Y	N		0	0	0	0	1	0	10	0	0
A1A1EXT	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1EXT.m	123	5232	8	27	;;1.2;Prescription Practices Extract;;MAY 1,1996	N	N		0	0	0	9	0	15	0	7	45
A1A1EXT1	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1EXT1.m	102	3467	7	19	;;1.2;Prescription Practices Extract;;MAY 1,1996	N	N		0	0	0	4	2	5	4	9	27
