routine_name	package	source_path	line_count	byte_size	first_line_comment	version_line	tag_count	comment_line_count	is_percent_routine
%DT	VA FileMan	/opt/VistA-M/o/_DT.m	118	5538	DIDT ;SFISC/GFT-DATE/TIME UTILITY ;2014-12-26  12:32 PM	;;22.2;VA FileMan;**14**;Jan 05, 2016;Build 8	32	13	Y
%DTC	VA FileMan	/opt/VistA-M/o/_DTC.m	143	5359	DIDTC ;SFISC/XAK-DATE/TIME OPERATIONS ;3JAN2011	;;22.2;VA FileMan;;Jan 05, 2016;Build 42	27	31	Y
%RCR	VA FileMan	/opt/VistA-M/o/_RCR.m	56	2093	DIRCR ;SFISC/GFT-DELETE THIS LINE AND SAVE AS '%RCR'*** ;12:18 PM  20 Apr 1993	;;22.2;VA FileMan;;Jan 05, 2016;Build 42	13	11	Y
%XUCI	Kernel	/opt/VistA-M/o/_XUCI.m	36	1281	%XUCI ;SFISC/STAFF,PUG/TOAD - SWAP UCIs GT.M ;20 May 2003 8:43 am	;;8.0;KERNEL;**275**;Jul 10, 1995;	13	11	Y
%YDBOCTOVISTAM		/opt/VistA-M/r/_YDBOCTOVISTAM.m	563	21239	%YDBOCTOVISTAM ; YDB/CJE/SMH - Octo-VistA SQL Mapper ;2024-11-26	;;1.12;YOTTADB OCTO VISTA UTILITIES;;Sep 22, 2012	15	220	Y
%ZIS4	Kernel	/opt/VistA-M/o/_ZIS4.m	110	4434	%ZIS4 ;ISF/RWF,DW - DEVICE HANDLER SPECIFIC CODE (GT.M for Unix/VMS) ;05/29/2008	;;8.0;KERNEL;**275,425,440,499**;Jul 10, 1995;Build 14	28	17	Y
%ZISF	Kernel	/opt/VistA-M/o/_ZISF.m	66	2450	%ZISF ;SFISC/AC - HOST FILES FOR GT.M on Unix/VMS  ;9/3/08  09:48	;;8.0;KERNEL;**275,499**;Jul 10, 1995;Build 14	12	13	Y
%ZISH	Kernel	/opt/VistA-M/o/_ZISH.m	361	11099	%ZISH ;ISF/AC,RWF,VEN/SMH - GT.M for Unix Host file Control ;Jan 08, 2019@09:44	;;8.0;KERNEL;**275,306,385,524,10001,10002,10004,10005**;Jul 10, 1995;Build 10	34	140	Y
%ZISTCPS	Kernel	/opt/VistA-M/o/_ZISTCPS.m	119	3614	%ZISTCPS ;ISF/RWF - DEVICE HANDLER TCP/IP SERVER CALLS ;2017-01-09  3:19 PM	;;8.0;KERNEL;**78,118,127,225,275,388,10001**;Jul 10, 1995	13	28	Y
%ZOSV	Kernel	/opt/VistA-M/o/_ZOSV.m	282	8686	%ZOSV ;VEN/SMH,KRM/CJE,FIS/KSB - View commands & special functions. ;Dec 06, 2018@11:40	;;8.0;KERNEL;**275,425,499,10001,10002,10004,10005**;Jul 10, 1995;Build 10	45	80	Y
%ZOSV2	Kernel	/opt/VistA-M/o/_ZOSV2.m	90	3210	%ZOSV2 ;ISF/RWF,FIS/KSB,VEN/SMH - More GT.M support routines ;2017-01-09  3:32 PM	;;8.0;KERNEL;**275,425,10001**;Jul 10, 1995;Build 8	9	24	Y
A1A1EXT	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1EXT.m	123	5232	A1A1EXT ;ALB/CAW,PKE - Loop through and extract data ;04/05/95 [ 05/29/96  8:15 AM ]	;;1.2;Prescription Practices Extract;;MAY 1,1996	8	27	N
A1A1EXT1	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1EXT1.m	102	3467	A1A1EXT1 ;ALB/CAW,PKE - Prescription Practices Extract (IG) ;4/6/95 [ 05/29/96  8:14 AM ]	;;1.2;Prescription Practices Extract;;MAY 1,1996	7	19	N
A1A1FMT	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1FMT.m	50	2734	A1A1FMT ;ALB/CAW - Format data [ 02/20/96  12:00 PM ]	;;1.2;Prescription Practices Extract;;MAY 1,1996	3	5	N
A1A1FMT0	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1FMT0.m	26	1243	A1A1FMT0 ;ALB/CAW,PKE - Format data ;4/12/95 [ 02/20/96  12:10 AM ]	;;1.2;Prescription Practices Extract;;MAY 1,1996	2	2	N
A1A1FMT1	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1FMT1.m	85	2895	A1A1FMT1 ;ALB/CAW,PKE - Format data for extract ;4/6/95 [ 05/29/96  12:44 PM ]	;;1.2;Prescription Practices Extract;;FEB 1,1996	8	26	N
A1A1MAIL	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1MAIL.m	55	1691	A1A1MAIL ;ALB/CAW,PKE - Prescription Practices Extract ;3/31/95 [ 02/20/96  2:25 PM ]	;;1.2;Prescription Practices Extract;;MAY 1,1996	4	6	N
A1A1NTEG	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1NTEG.m	17	791	A1A1NTEG ;ISC/XTSUMBLD KERNEL - Package checksum checker ;2960429.1348	;;0.0;	10	3	N
A1A1OIG	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1OIG.m	93	4033	A1A1OIG ;ALB/MLI,MAF - OIG Request for C&P Audit Information ; 15 Jun 94	;;Version 2.0	10	20	N
A1A1OIG1	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A1OIG1.m	30	1138	A1A1OIG1 ;ALB/MLI,MAF - OIG Request for C&P Audit Information :Mail messages ; 15 Jun 94	;;Version 2.0	3	7	N
A1A3GRP	Albany OIFO	/opt/VistA-M/Packages/Albany OIFO/Routines/A1A3GRP.m	10	594	A1A3GRP ;ALB/RMO - CLEAN-UP AMB PROC GROUPS FOR TEST SITES ; 31 JUL 89		4	3	N
