ien	name	tag	routine_name	return_type	return_type_label	availability	inactive	inactive_label	version	package	package_dir
1	XWB EGCHO STRING	ECHO1	XWBZ1	1	SINGLE VALUE	R		ACTIVE		RPC BROKER	RPC Broker
10	XUS SIGNON SETUP	SETUP	XUSRB	2	ARRAY	S		ACTIVE	1	KERNEL	Kernel
100	IBD VALIDATE USER	VALIDAV	IBDFBK1	1	SINGLE VALUE	R	1	INACTIVE		AUTOMATED INFO COLLECTION SYS	Automated Information Collection System
1000	TIU TEMPLATE GETLINK	GETLINK	TIUSRVT1	1	SINGLE VALUE	R		ACTIVE		TEXT INTEGRATION UTILITIES	Text Integration Utility
1001	TIU TEMPLATE ALL TITLES	TITLELST	TIUSRVT1	2	ARRAY	R		ACTIVE		TEXT INTEGRATION UTILITIES	Text Integration Utility
1002	ORQPT DEFAULT CLINIC DATE RANG	CDATRANG	ORQPTQ2	1	SINGLE VALUE	S		ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1003	ORWTPR OCDESC	OCDESC	ORWTPR	2	ARRAY			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1004	ORWTPR NOTDESC	NOTDESC	ORWTPR	2	ARRAY			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1005	ORWDPS1 FAILDEA	FAILDEA	ORWDPS1	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1006	ORWTIU CANLINK	CANLINK	ORWTIU	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1007	ORWCOM PTOBJ	PTOBJ	ORWCOM	1	SINGLE VALUE	R		ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1008	ORWCOM ORDEROBJ	ORDEROBJ	ORWCOM	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1009	ORWCOM GETOBJS	GETOBJS	ORWCOM	2	ARRAY	R		ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
101	IBD RECEIVE DATA	SEND	IBDFRPC4	2	ARRAY	P	1	INACTIVE		AUTOMATED INFO COLLECTION SYS	Automated Information Collection System
1010	ORWCOM DETAILS	DETAILS	ORWCOM	1	SINGLE VALUE	R		ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1011	ORWSR SHOW SURG TAB	SHOWSURG	ORWSR	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1012	ORWSR LIST	LIST	ORWSR	4	GLOBAL ARRAY			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1013	ORWSR GET SURG CONTEXT	GTSURCTX	ORWSR	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1014	ORWSR SAVE SURG CONTEXT	SVSURCTX	ORWSR	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1015	MAG3 TR THIN CLIENT ALLOWED	TCALLOW	MAGNTLR3	1	SINGLE VALUE	R	0	ACTIVE		IMAGING	Imaging
1016	DVBAB GET SET	GETSET	DVBABDDU	2	ARRAY	R		ACTIVE	1	AUTOMATED MED INFO EXCHANGE	Automated Medical Information Exchange
1017	ORWSR ONECASE	ONECASE	ORWSR	2	ARRAY			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1018	ORWSR CASELIST	CASELIST	ORWSR	4	GLOBAL ARRAY			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1019	ORWSR SHOW OPTOP WHEN SIGNING	SHOWOPTP	ORWSR	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
102	IBD RETURN IMAGE ID	IMAGEID	IBDFBK1	1	SINGLE VALUE	P	1	INACTIVE		AUTOMATED INFO COLLECTION SYS	Automated Information Collection System
1020	ORWSR IS NON-OR PROCEDURE	ISNONOR	ORWSR	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1021	ORQQCN GET PROC IEN	PROCIEN	ORQQCN1	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1022	ORWRP3 EXPAND COLUMNS	LIST	ORWRP3	2	ARRAY	R		ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1023	ORWTPD DELDFLT	DELDFLT	ORWTPD	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
1024	ORWTPD GETDFLT	GETDFLT	ORWTPD	1	SINGLE VALUE			ACTIVE		ORDER ENTRY/RESULTS REPORTING	Order Entry Results Reporting
