ien	name	type	size_bytes	rsum_value	checksum_value
1	ZTBKC				
2	XM	R			
3	XMA	R			
4	XMA0	R			
5	XMA1				
6	XMA2	R	3716		
7	XMA3	R			
8	XMA4				
9	XMA5				
10	XMB	R			
11	XME				
12	XME1				
13	XMHOOK				
14	XML	R			
15	XMR	R			
16	XMR1	R			
17	XMR2	R			
18	XMR3	R			
19	XMS	R			
20	XMA11	R			
21	XUWORKDY				
22	ZIS	R			
23	ZTM	R			
24	ZTLOAD	R			
25	ZINDEX	PK			
26	ZTMB	R			
28	ZTMS	R			
29	XMZ				
32	XMA21	R	3691		
37	XMA32	R	1547		
41	XMA7	R	3413		
43	XMC	R	844		
44	XMC1	R	3449		
45	XMC11	R	2106		
48	XMCD	R	2389		
53	XMCSIZE	R	640		
54	XMD	R	609		
61	ENSETUP				
62	SWNHADD				
63	SWNHEDT				
64	SWCNHADD				
65	SWCNHDIS				
66	SWCNHEDT				
67	SWCNHPRT				
68	SWCNHCFY				
69	SWLOS				
70	LREXEC	R	518		
71	LREXPD	R	722		
72	LRGP	R	2429		
73	LRGP1	R	2684		
74	LRGP2	R	1969		
75	LRGVK	R	1123		
78	LRVER3	R	4080		
79	LRVER4	R	2745		
80	LRVER5	R	3037		
81	LRVR1	R	2573		
82	LRVR2	R	2005		
83	LRVR3	R	2534		
84	LRVR4	R	2716		
85	LRVR5	R	2724		
86	LRWU	R	1921		
87	LRWU2	R	884		
88	LRGV	R	3088		
89	LRGV1	R	4182		
92	LRGVP	R	1371		
93	LRNORMAL	R	1090		
94	LRVER1	R	1645		
95	LRVER2	R	1972		
96	LRWU3	R	2244		
98	RABTCH	R			
99	RABTCH1	R			
100	RACNLU	R			
101	RADEM				
102	RADEM1	R			
103	RADEM2	R			
104	RADPA				
105	RAEDCN	R			
106	RAEDPT	R			
107	RAFLH	R			
108	RAFLH1				
109	RAFLM				
110	RAFLM1				
111	RAJAC	R			
112	RALIST				
113	RALWKL				
114	RALWKL1				
115	RAMAIN	R			
116	RAMAINP	R			
117	RAMIS				
118	RAMIS1				
119	RAONCE				
120	RAOUT				
121	RAPAST				
122	RAPNL				
123	RAPRC				
124	RAPRC1				
125	RAPRE				
126	RAPRED				
127	RAPRELOG				
128	RAPROD	R			
129	RAPROD1	R			
130	RAPROF				
131	RAPROQ				
132	RAPROS	R			
133	RAPSET	R			
134	RAPSET1				
135	RAPTLU	R			
136	RAPTUPD				
137	RAPURGE	R			
138	RAREG	R			
139	RAREG0				
140	RAREG1	R			
141	RARPT				
142	RART	R			
143	RARTE	R			
144	RARTE1	R			
145	RARTFLDS				
146	RARTONE				
147	RARTR	R			
148	RASERV	R			
149	RASITE	R			
150	RASTAT				
151	RASTED	R			
152	RASTEXT	R			
153	RASTEXT1				
154	RASTREQ	R			
155	RASTRPT				
156	RASUP				
157	RASYS	R			
158	RATRANS				
159	RAUTL				
160	RAUTL1	R			
161	RAWK				
162	RAWKL				
163	RAWKL1				
164	RAWORK				
166	PRAP0				
167	PRAP1				
168	PRAP9				
169	PRAP900				
170	PRAP91				
171	PRAPADV				
172	PRAPADV1				
173	PRAPAM				
174	PRAPAM1				
175	PRAPAMN				
176	PRAPAMO				
177	PRAPAMP				
178	PRAPAP				
179	PRAPAPO				
180	PRAPAPPR				
181	PRAPAR				
182	PRAPB				
183	PRAPB1				
184	PRAPB2				
185	PRAPC				
186	PRAPCAP				
187	PRAPCAP1				
188	PRAPCAP2				
189	PRAPCAPP				
190	PRAPDLLR				
191	PRAPE				
192	PRAPE1				
193	PRAPE2				
194	PRAPE3				
195	PRAPFM				
196	PRAPH				
197	PRAPHLP				
198	PRAPIH				
199	PRAPIN				
200	PRAPLN3				
201	PRAPLN31				
202	PRAPLN4				
203	PRAPLOOP				
204	PRAPM				
205	PRAPMAF				
206	PRAPMAS				
207	PRAPMMO				
208	PRAPMRM1				
209	PRAPMRMO				
210	PRAPO				
211	PRAPP				
212	PRAPP0				
213	PRAPP1				
214	PRAPP2				
215	PRAPP3				
216	PRAPP4				
217	PRAPP5				
218	PRAPP6				
219	PRAPPH				
220	PRAPPLN				
221	PRAPPLN1				
222	PRAPPLN3				
223	PRAPPS				
224	PRAPPU				
225	PRAPPWS				
226	PRAPQ				
227	PRAPQA				
228	PRAPQRTN				
229	PRAPR				
230	PRAPR1				
231	PRAPR2				
232	PRAPRI				
233	PRAPRPH				
234	PRAPRPS				
235	PRAPS				
236	PRAPS0				
237	PRAPS1				
238	PRAPS2				
239	PRAPS3				
240	PRAPS31				
241	PRAPS4				
242	PRAPS41				
243	PRAPS5				
244	PRAPS51				
245	PRAPS6				
246	PRAPS61				
247	PRAPS7				
248	PRAPS71				
249	PRAPSA				
250	PRAPSA1				
251	PRAPSAM				
252	PRAPSB				
253	PRAPSBC				
254	PRAPSBC1				
255	PRAPSBF				
256	PRAPSBL				
257	PRAPSBN				
258	PRAPSBR				
259	PRAPSBU				
260	PRAPSC				
261	PRAPSEL				
262	PRAPSF				
263	PRAPSF1				
264	PRAPSFO				
265	PRAPSG				
266	PRAPSH				
267	PRAPSORT				
268	PRAPSRT				
269	PRAPSRT1				
270	PRAPSRT2				
271	PRAPSS				
272	PRAPSS1				
273	PRAPSS2				
274	PRAPST				
275	PRAPSU				
276	PRAPSUP				
277	PRAPTTL				
278	PRAPTU				
279	PRAPU				
280	PRAPUC1				
281	PRAPUC2				
282	PRAPUC3				
283	PRAPUC4				
284	PRAPUC5				
285	PRAPUC6				
286	PRAPUC7				
287	PRAPUCB				
288	PRAPUSS				
289	PRAPUS				
290	PRAPUT				
291	PRAPIEW				
292	LRLSTWRL				
293	LRLSTWRK	R			
294	ZISPL	R			
296	XMS3	R			
300	YSDX3R1	R			
301	YSDX3RUA	R			
302	YSDX3UB	R			
304	FHASE	R			
305	FHASE3	R			
306	FHASM7	R			
307	SHERYL	R			
308	FBNHPLT	R			
309	FBCHPRC1	R			
311	NURSCUTL	R			
315	SRSMREQ	R			
317	XQ6	R			
318	XUS5	R			
319	RTNQ1	R			
320	VEC8104	R	1444		
321	IVMZCL	R			
322	ZZCL	R			
323	IBDF1B1	R			
324	PSGWWRD	R			
325	PRCAGF	R			
327	EEOEFIN	R			
328	EEOEFIN1	R			
332	XGF	R			
333	XGFDEMO	R			
334	XGFDEMO1	R			
335	XGKB	R			
336	XGKB1	R			
337	XGS	R			
338	XGSA	R			
339	XGSBOX	R			
340	XGSETUP	R			
341	XGSW	R			
342	XLFDT	R			
343	XLFDT1	R			
344	XLFDT2	R			
345	XLFDT3	R			
346	XLFDT4	R			
347	XLFHYPER	R			
348	XLFLTR	R			
349	XLFLTR1	R			
350	XLFMSMT	R			
351	XLFMSMT2	R			
352	XLFMTH	R			
353	XLFMTH1	R			
354	XLFSTR	R			
355	XLFUTL	R			
356	XMGAPI4	R			
357	XPDCOM	R			
358	XPDCOMG	R			
359	XPDCPU	R			
360	XPDDCS	R			
361	XPDDI	R			
362	XPDDP	R			
363	XPDE	R			
364	XPDET	R			
365	XPDGCDEL	R			
366	XPDH	R			
367	XPDI	R			
368	XPDIA	R			
369	XPDIA1	R			
370	XPDIA2	R			
371	XPDID	R			
372	XPDIGP	R			
373	XPDIK	R			
374	XPDIL	R			
375	XPDIL1	R			
