routine	entry_index	line_text	tag_offset	error_text
A2APATC1	1	57	PAC1+6	F - Block structure mismatch.
A2APATCK	1	22	A3	W - Blank(s) at end of line.
A2APCOPY	1	1	A2APCOPY	S - First line of routine violates the SAC.
A2APCOPY	2	2	A2APCOPY+2	S - 2nd line of routine violates the SAC.
A2APSTU	1	2	A2APSTU+2	S - 2nd line of routine violates the SAC.
A4A7B	1	1	A4A7B	S - First line of routine violates the SAC.
A4A7B0	1	1	A4A7B0	S - First line of routine violates the SAC.
A4A7B1	1	1	A4A7B1	S - First line of routine violates the SAC.
A7RXDRPT	1	1	A7RXDRPT	S - First line of routine violates the SAC.
ACKQAG08	1	1	ACKQAG08	S - First line of routine violates the SAC.
ACKQAS	1	165	FILE+35	S - Lock missing Timeout.
ACKQAS	2	222	UNLOCK+1	S - Non-Incremental Lock.
ACKQAS2	1	79	UNLOCK+1	S - Non-Incremental Lock.
ACKQAS4	1	107	EXIT+2	S - Non-Incremental Lock.
ACKQCD2	1	85	DIK+6	S - Lock missing Timeout.
ACKQCDD2	1	116	SAVE+12	S - Lock missing Timeout.
ACKQCLED	1	1	ACKQCLED	S - First line of routine violates the SAC.
AFJXUPD	1	1	AFJXUPD	S - First line of routine violates the SAC.
AFJXUPD	2	13	ADD	W - Blank(s) at end of line.
AJK1UBCP	1	1	AJK1UBCP	S - First line of routine violates the SAC.
AJK1UBDD	1	1	AJK1UBDD	S - First line of routine violates the SAC.
AJK1UBDP	1	1	AJK1UBDP	S - First line of routine violates the SAC.
AJK1UBFY	1	1	AJK1UBFY	S - First line of routine violates the SAC.
AJK1UBM	1	1	AJK1UBM	S - First line of routine violates the SAC.
AJK1UBP1	1	1	AJK1UBP1	S - First line of routine violates the SAC.
AJK1UBQ	1	1	AJK1UBQ	S - First line of routine violates the SAC.
AJK1UBS	1	1	AJK1UBS	S - First line of routine violates the SAC.
AJK1UBT	1	1	AJK1UBT	S - First line of routine violates the SAC.
AJK1UBT1	1	1	AJK1UBT1	S - First line of routine violates the SAC.
AJK1UBTB	1	1	AJK1UBTB	S - First line of routine violates the SAC.
AJK1UBTC	1	1	AJK1UBTC	S - First line of routine violates the SAC.
AJK1UBTE	1	1	AJK1UBTE	S - First line of routine violates the SAC.
AJK1UBTM	1	1	AJK1UBTM	S - First line of routine violates the SAC.
