routine_name	tag	data
A2APAT1	A	
A2APAT1	A2APAT1	
A2APAT1	GET	
A2APAT1	MESS	
A2APAT1	P	
A2APATC1	%Z1	
A2APATC1	%Z2	
A2APATC1	%Z3	
A2APATC1	5	
A2APATC1	A2APATC1	
A2APATC1	CHK	
A2APATC1	DD	
A2APATC1	ERR	
A2APATC1	EXEC	
A2APATC1	PAC	
A2APATC1	PAC1	
A2APATC1	PACQ	
A2APATC1	X	
A2APATC2	A	
A2APATC2	A2APATC2	
A2APATC2	GET	
A2APATC2	MESS	
A2APATC2	P	
A2APATC2	PAC	
A2APATCK	A	
A2APATCK	A1	
A2APATCK	A2	
A2APATCK	A2APATCK	
A2APATCK	A3	
A2APATCK	A4	
A2APATCK	DD	
A2APATCK	EXIT	
A2APATCK	MES	
A2APATCK	QUE	
A2APCOPY	A	
A2APCOPY	A2APCOPY	
A2APCOPY	B	
A2APCOPY	DEL	
A2APCOPY	PR	
A2APCOPY	ST	
A2APSTU	A2APSTU	
A2APSTU	ALL	
A2APSTU	FORUM	
A2APSTU	TASK	
A4A7B	A4A7B	
A4A7B	DATADIC	
A4A7B	DIE	
A4A7B	FILE	
A4A7B	HORSE	
A4A7B	NAIL	
A4A7B	NEEDLE	
A4A7B	Q	
A4A7B	RESTART	
A4A7B	ROU	
A4A7B	STOP	
A4A7B	TASK	
A4A7B0	A4A7B0	
A4A7B0	DATADIC	
A4A7B0	DIE	
A4A7B0	NODE	
A4A7B0	PARTIAL	
A4A7B0	ROU	
A4A7B0	SECTION	
A4A7B0	TASK	
A4A7B1	1	
A4A7B1	2	
A4A7B1	A4A7B1	
A4A7B1	BODY	
A4A7B1	DEVICE	
A4A7B1	END	
A4A7B1	HDRID	
A4A7B1	START	
A4A7B1	UP	
A4A7B1	UPPTR	
A4A7KILL	A4A7KILL	
A4A7KILL	ACX1	
A4A7KILL	ACX10	
A4A7KILL	ACX11	
A4A7KILL	ACX12	
A4A7KILL	ACX13	
A4A7KILL	ACX14	
A4A7KILL	ACX15	
A4A7KILL	ACX16	
A4A7KILL	ACX17	
A4A7KILL	ACX18	
A4A7KILL	ACX2	
A4A7KILL	ACX20	
A4A7KILL	ACX21	
A4A7KILL	ACX22	
A4A7KILL	ACX23	
A4A7KILL	ACX25	
A4A7KILL	ACX26	
A4A7KILL	ACX27	
A4A7KILL	ACX28	
A4A7KILL	ACX29	
A4A7KILL	ACX3	
A4A7KILL	ACX30	
A4A7KILL	ACX31	
A4A7KILL	ACX32	
A4A7KILL	ACX33	
A4A7KILL	ACX35	
A4A7KILL	ACX36	
A4A7KILL	ACX37	
A4A7KILL	ACX38	
A4A7KILL	ACX39	
A4A7KILL	ACX4	
A4A7KILL	ACX5	
A4A7KILL	ACX6	
A4A7KILL	ACX7	
A4A7KILL	ACX8	
A4A7KILL	ACX9	
A4A7KILL	AH	
A4A7KILL	B1	
A4A7KILL	B2	
A4A7KILL	B4	
A4A7KILL	B6	
A4A7KILL	BUILD	
A4A7KILL	EXIT	
A4A7KILL	FIELD	
A4A7KILL	FILES	
A4A7KILL	IX	
A4A7KILL	K	
A4A7KILL	TRIGGER	
A4A7KILL	ZZ	
A7RXDRPT	A7RXDRPT	
A7RXDRPT	EN	
ABSV4P45	ABSV4P45	
ABSV4P45	BEGDEL	
ABSV4P45	DELFX	
ABSV4P45	DIRCHK	
ABSV4P45	FUNC	
ABSV4P45	LINE	
ABSV4P45	MAIL	
ABSV4P45	MSGTXT	
ABSV4P45	TASK	
ABSV4P45	V	
ACKQ316P	ACKQ316P	
ACKQ316P	LOOP	
ACKQ316P	POST	
ACKQ316P	TEMPL	
ACKQ3P21	%	
ACKQ3P21	ACKQ3P21	
ACKQ3P21	EN	
ACKQ3P21	PURG	
ACKQ3P21	PURGD	
ACKQ3P21	PURGV	
ACKQ3P21	SETVER	
ACKQ3P22	ACKQ3P22	
ACKQ3P22	DIAG	
ACKQ3P23	ACKQ3P23	
ACKQ3P23	DIAG	
ACKQ3P24	ACKQ3P24	
ACKQ3P24	DIAG	
ACKQ3P25	ACKQ3P25	
ACKQ3P25	DIAG	
ACKQ3P26	ACKQ3P26	
ACKQ3P26	DIAG	
ACKQ3P27	ACKQ3P27	
ACKQ3P27	DIAG	
ACKQ3P28	ACKQ3P28	
ACKQ3P28	DIAG	
ACKQ3P29	ACKQ3P29	
ACKQ3P29	DIAG	
ACKQ3P30	ACKQ3P30	
ACKQ3P30	DIAG	
ACKQ3P31	ACKQ3P31	
ACKQ3P31	DIAG	
ACKQAG01	ACKQAG01	
ACKQAG01	COM	
ACKQAG01	E1	
ACKQAG01	E2	
ACKQAG01	E3	
ACKQAG01	E4	
ACKQAG01	E5	
ACKQAG01	END	
ACKQAG01	ENDT	
ACKQAG01	S1	
ACKQAG01	S2	
ACKQAG01	S3	
ACKQAG01	START	
ACKQAG01	TITLE	
ACKQAG01	WRTERR	
ACKQAG02	ACKQAG02	
ACKQAG02	EN	
ACKQAG02	EN2	
ACKQAG02	END	
ACKQAG02	GETDATA	
ACKQAG02	S1	
ACKQAG02	S2	
ACKQAG02	START	
ACKQAG02	WRTERR	
ACKQAG03	1	
ACKQAG03	2	
ACKQAG03	3	
ACKQAG03	4	
ACKQAG03	5	
ACKQAG03	6	
ACKQAG03	7	
ACKQAG03	8	
ACKQAG03	9	
ACKQAG03	ACKQAG03	
ACKQAG03	C	
ACKQAG03	END	
ACKQAG03	ENDE	
ACKQAG03	ERRTEXT	
ACKQAG03	START	
ACKQAG03	WRITEER	
ACKQAG04	ACKQAG04	
ACKQAG04	C1	
ACKQAG04	COMMTS	
ACKQAG04	EN	
ACKQAG04	EN2	
ACKQAG04	END	
ACKQAG04	GETDATA	
ACKQAG04	S1	
ACKQAG04	S2	
ACKQAG04	START	
ACKQAG04	WRTERR	
ACKQAG05	1	
ACKQAG05	10	
ACKQAG05	2	
ACKQAG05	3	
ACKQAG05	4	
ACKQAG05	5	
ACKQAG05	6	
ACKQAG05	7	
ACKQAG05	8	
ACKQAG05	9	
ACKQAG05	ACKEXIST	
ACKQAG05	ACKQAG05	
ACKQAG05	DFNCT	
ACKQAG05	DFNIN	
ACKQAG05	ENDA	
ACKQAG05	ENDC	
ACKQAG05	ENDD	
ACKQAG05	ENDE	
ACKQAG05	ENDS	
ACKQAG05	ERRTEXT	
ACKQAG05	NEWMSG	
ACKQAG05	STARTD	
ACKQAG05	WRITEER	
ACKQAG06	ACKQAG06	
ACKQAG06	GETDATA	
ACKQAG06	ITC	
ACKQAG06	LA	
ACKQAG06	LB	
ACKQAG06	LCAR	
ACKQAG06	LIAR	
ACKQAG06	LOGIC	
ACKQAG06	RA	
ACKQAG06	RB	
ACKQAG06	RCAR	
ACKQAG06	REF	
ACKQAG06	RIAR	
ACKQAG06	SET1	
ACKQAG06	SET2	
ACKQAG06	SPCH	
ACKQAG06	SRT	
ACKQAG08	ACKQAG08	
ACKQAG08	AIRL	
ACKQAG08	AIRR	
ACKQAG08	END	
ACKQAG08	L1	
ACKQAG08	L2	
ACKQAG08	LBONE	
ACKQAG08	PART2	
ACKQAG08	RBONE	
ACKQAG08	RULES	
ACKQAICD	ACKQAICD	
ACKQAICD	ICDSYS	
ACKQAS	ACKQAS	
ACKQAS	AOA	
ACKQAS	APPMNT	
ACKQAS	APPMNT1	
ACKQAS	CHKDT	
ACKQAS	CHKDTH	
ACKQAS	CLIN	
ACKQAS	DEL	
ACKQAS	DIV	
ACKQAS	FILE	
ACKQAS	HEADING	
ACKQAS	IVD	
ACKQAS	PATIENT	
ACKQAS	PCE	
ACKQAS	SITE	
ACKQAS	STOP	
ACKQAS	TPLATE	
ACKQAS	UNLOCK	
ACKQAS	VDATE	
ACKQAS	VEXIT	
ACKQAS	VISIT	
ACKQAS1	ACKQAS1	
ACKQAS1	DCXFM	
ACKQAS1	LAMD	
ACKQAS1	LAMDR	
ACKQAS1	PCXFM	
ACKQAS2	ACKQAS2	
ACKQAS2	DATE	
ACKQAS2	HEADING	
ACKQAS2	OPTN	
ACKQAS2	RES	
ACKQAS2	SUPER	
ACKQAS2	TPLATE	
ACKQAS2	UNLOCK	
ACKQAS2	VEDIT	
ACKQAS2	VEXIT	
ACKQAS3	ACCESS	
ACKQAS3	ACKQAS3	
ACKQAS3	CHOOSE	
ACKQAS3	COST	
ACKQAS3	EXIT	
ACKQAS3	LOOP	
ACKQAS3	MOD	
ACKQAS3	OPTN	
ACKQAS3	SINGLE	
ACKQAS4	ACKQAS4	
ACKQAS4	CONFIRM	
ACKQAS4	DATE	
ACKQAS4	DELETE	
ACKQAS4	DELPCE	
ACKQAS4	DOIT	
ACKQAS4	EXIT	
ACKQAS4	FAILED	
ACKQAS4	OPTN	
ACKQAS4	WARNING	
ACKQAS5	ACKQAS5	
ACKQAS5	EDIT	
ACKQAS5	ETPLATE	
ACKQASU	ACKQASU	
ACKQASU	ADCODE	
ACKQASU	DATE	
ACKQASU	DC	
ACKQASU	DISP	
ACKQASU	DUPEDATA	
ACKQASU	ELIGCHK	
ACKQASU	GETPCETM	
ACKQASU	KILL	
ACKQASU	TIME	
ACKQASU1	ACKQASU1	
ACKQASU1	ACKSTOP	
ACKQASU1	ASK1	
ACKQASU1	CLIN	
ACKQASU1	CLINHLP	
ACKQASU1	CLINX	
ACKQASU1	DATE	
ACKQASU1	DUPCHK	
ACKQASU1	DUPCHKX	
ACKQASU1	EXCEPT	
ACKQASU1	GETCLIN	
ACKQASU1	PCEVST1	
ACKQASU1	SELECT	
ACKQASU1	UP	
ACKQASU2	ACKQASU2	
ACKQASU2	ADD	
ACKQASU2	CHOICE	
ACKQASU2	CHOICE1	
ACKQASU2	CORRUPT	
ACKQASU2	DELETE	
ACKQASU2	DISP	
ACKQASU2	DISPLAY	
ACKQASU2	EXIT	
ACKQASU2	EXPT	
ACKQASU2	GETDATA	
ACKQASU2	LEFT	
ACKQASU2	MINIMUM	
ACKQASU2	NULL	
ACKQASU2	PCE	
ACKQASU2	PCE1	
ACKQASU2	POST	
ACKQASU2	QUASAR	
ACKQASU2	UTLAUD	
ACKQASU2	VALUES	
ACKQASU3	ACKQASU3	
ACKQASU3	DATACHK	
ACKQASU3	ERORDISP	
ACKQASU3	HEADING	
ACKQASU3	PCESEND	
ACKQASU3	TEST	
ACKQASU4	ACKQASU4	
ACKQASU4	ADDERR	
ACKQASU4	COPYPCE	
ACKQASU4	COPYPCEX	
ACKQASU4	COPYPRIM	
ACKQASU4	COPYSCND	
ACKQASU4	DIAGHIST	
ACKQASU4	PROVCHK	
ACKQASU5	ACKQASU5	
ACKQASU5	POSTDIAG	
ACKQASU5	PRIMARY	
ACKQASU5	SETDIAG	
ACKQASU5	SETDIAGX	
ACKQASU5	SETMDFR	
ACKQASU5	SETMODX	
ACKQASU5	SETPROC	
ACKQASU5	SETPROCX	
ACKQASU5	TIMECHEK	
ACKQASU5	TIMERR	
ACKQASU6	ACKQASU6	
ACKQASU6	SETPRIM	
ACKQASU6	SETPRIMX	
ACKQASU6	SETSCND	
ACKQASU6	SETSCNDX	
ACKQASU6	SETSTUD	
ACKQASU6	SETSTUDX	
ACKQASU7	ACKAPMNT	
ACKQASU7	ACKQASU7	
ACKQASU7	MESSAG	
ACKQASU7	OK2	
ACKQASU7	PAUSE	
ACKQASU7	SHOWPCE	
ACKQCD1	ACKQCD1	
ACKQCD1	DATES	
ACKQCD1	ENDD	
ACKQCD1	FLAT	
ACKQCD1	MONTH	
ACKQCD1	SAVE	
ACKQCD1	STARTD	
ACKQCD1	TPH	
ACKQCD2	ACKQCD2	
ACKQCD2	CLINH	
ACKQCD2	CREATE	
ACKQCD2	DIK	
ACKQCD2	DISREM	
ACKQCD2	INDCAT	
ACKQCD2	INDCAT2	
ACKQCD2	INDEX	
ACKQCD2	PASS	
ACKQCD2	PASS2	
ACKQCD2	PASS3	
ACKQCD2	PERCENT	
ACKQCD2	README	
ACKQCD2	SAVE	
ACKQCD2	TPH	
ACKQCD2	TPH2	
ACKQCD3	ACKQCD3	
