routine_name	ref	location_list
A2APAT1	DIC 	0
A2APATC1	%DTC NOW	0
A2APATC1	DIC IX	0
A2APATC2	DIC 	0
A2APATCK	%ZIS 	0
A2APATCK	%ZISC 	0
A2APATCK	%ZTLOAD 	0
A2APATCK	A2APATC1 5	0
A2APATCK	A2APATC2 A	0
A2APATCK	A2APATC2 GET	0
A2APATCK	A2APATC2 P	0
A2APATCK	A2APSTU 	0
A2APATCK	DIR 	0
A2APSTU	%ZTLOAD 	0
A2APSTU	DIR 	0
A2APSTU	XLFDT $$FMDIFF	0
A2APSTU	XLFDT $$FMTE	0
A2APSTU	XMD 	0
A2APSTU	XPDUTL $$VER	0
A2APSTU	XPDUTL BMES	0
A4A7B	%ZTLOAD 	0
A4A7B	A4A7B0 	0
A4A7B	A4A7B0 NODE	0
A4A7B	A4A7B0 PARTIAL	0
A4A7B0	A4A7B Q	0
A4A7B0	A4A7B TASK	0
A4A7B1	%ZIS 	0
A4A7B1	%ZIS HOME	0
A4A7B1	%ZISC 	0
A4A7B1	%ZTLOAD 	0
A4A7KILL	DIK 	0
A4A7KILL	DIR 	0
A4A7KILL	DIU2 EN	0
A7RXDRPT	A7RDUP EN	0
ABSV4P45	%ZTLOAD 	0
ABSV4P45	DIC $$FIND1	0
ABSV4P45	DIE FILE	0
ABSV4P45	DILF $$CREF	0
ABSV4P45	DILFD $$ROOT	0
ABSV4P45	DILFD $$VFILE	0
ABSV4P45	DIU2 EN	0
ABSV4P45	XLFDT $$FMTE	0
ABSV4P45	XLFDT $$NOW	0
ABSV4P45	XMD 	0
ABSV4P45	XPDUTL MES	0
ACKQ316P	DIEZ EN	0
ACKQ316P	DILF $$ROUSIZE	0
ACKQ316P	DIPZ EN	0
ACKQ316P	XPDUTL BMES	0
ACKQ316P	XPDUTL MES	0
ACKQ3P21	DICN FILE	0
ACKQ3P21	DIK 	0
ACKQ3P21	ICDEX $$CODEN	0
ACKQ3P21	ICDEX $$CSI	0
ACKQ3P21	XPDUTL BMES	0
ACKQ3P21	XPDUTL MES	0
ACKQAG01	ACKQAG06 GETDATA	0
ACKQAG01	DIQ1 EN	0
ACKQAG01	VADPT DEM	0
ACKQAG01	XLFDT $$FMTE	0
ACKQAG02	ACKQAG01 $$TITLE	0
ACKQAG02	DIQ1 EN	0
ACKQAG02	XLFDT $$FMTE	0
ACKQAG03	ACKQAG04 EN	0
ACKQAG03	ACKQAG05 $$ACKEXIST	0
ACKQAG03	ACKQAG05 $$DFNIN	0
ACKQAG03	ACKQAG05 $$NEWMSG	0
ACKQAG03	DIE 	0
ACKQAG03	MPIF001 $$GETICN	0
ACKQAG03	XMD EN1	0
ACKQAG03	XMXSEC1 CHKLINES	0
ACKQAG03	XUSRB1 $$ENCRYP	0
ACKQAG04	ACKQAG01 $$TITLE	0
ACKQAG04	VADPT DEM	0
ACKQAG04	VADPT ELIG	0
ACKQAG04	XLFDT $$FMTE	0
ACKQAG05	MPIF001 $$GETICN	0
ACKQAG05	XLFDT $$FMTE	0
ACKQAG05	XMA2 XMZ	0
ACKQAG05	XMD EN1	0
ACKQAG05	XMXSEC1 CHKLINES	0
ACKQAG05	XUSRB1 $$ENCRYP	0
ACKQAG08	DIK ENALL	0
ACKQAICD	LEXU $$IMPDATE	0
ACKQAS	%DT 	0
ACKQAS	%DT DD	0
ACKQAS	%ZISS KILL	0
ACKQAS	ACKQAS5 EDIT	0
ACKQAS	ACKQASU $$DUPEDATA	0
ACKQAS	ACKQASU $$ELIGCHK	0
ACKQAS	ACKQASU $$GETPCETM	0
ACKQAS	ACKQASU DISP	0
ACKQAS	ACKQASU KILL	0
ACKQAS	ACKQASU1 $$CLIN	0
ACKQAS	ACKQASU1 $$DUPCHK	0
ACKQAS	ACKQASU1 $$PCEVST1	0
ACKQAS	ACKQASU2 $$POST	0
ACKQAS	ACKQASU2 UTLAUD	0
ACKQAS	ACKQASU3 $$PCESEND	0
ACKQAS	ACKQASU4 $$COPYPCE	0
ACKQAS	ACKQASU7 $$ACKAPMNT	0
ACKQAS	ACKQASU7 $$SHOWPCE	0
ACKQAS	ACKQUTL2 $$DIV	0
ACKQAS	ACKQUTL4 $$AUDIO	0
ACKQAS	ACKQUTL4 $$PCE	0
ACKQAS	DIC 	0
ACKQAS	DIC LIST	0
ACKQAS	DICN FILE	0
ACKQAS	DIE 	0
ACKQAS	DIE FILE	0
ACKQAS	DIK 	0
ACKQAS	DIQ $$GET1	0
ACKQAS	DIR 	0
ACKQAS	PXAPI $$VISITLST	0
ACKQAS	VADPT DEM	0
ACKQAS	VADPT SDA	0
ACKQAS1	ACKQCP1 PULL2	0
ACKQAS1	ACKQUTL $$NUMDT	0
ACKQAS1	DIR 	0
