file_number	file_name	global_root	parent_file	field_count	pointer_in	pointer_out	record_count	is_dinum	piks	piks_method	piks_confidence	piks_evidence	piks_secondary	volatility	sensitivity	portability	volume	subdomain	status
0	ATTRIBUTE			41	0	3	0												extracted
.001	DESCRIPTION			1	0	0	0												extracted
.007	TRANSLATION		0	2	0	1													extracted
.008	TRANSLATION		0	2	0	1													extracted
.009	TRANSLATION		0	2	0	1													extracted
.1	CROSS-REFERENCE			7	0	0	0												extracted
.101	DESCRIPTION SUB-FIELD		.1	1	0	0													extracted
.10101	PROPERTY SUB-FIELD			2	0	1	0												extracted
.10201	METHOD SUB-FIELD			2	0	1	0												extracted
.11	INDEX	^DD("IX",		21	1	0	1774	N											extracted
.1101	DESCRIPTION SUB-FIELD	^DD("IX",	.11	1	0	0													extracted
.111	OVERFLOW SET LOGIC SUB-FIELD	^DD("IX",	.11	2	0	0													extracted
.112	OVERFLOW KILL LOGIC SUB-FIELD	^DD("IX",	.11	2	0	0													extracted
.114	CROSS-REFERENCE VALUES SUB-FIELD	^DD("IX",	.11	13	0	0													extracted
.12	FIELD			8	0	1	0												extracted
.15	TRIGGERED-BY			3	0	0	0												extracted
.2	DESTINATION	^DIC(.2,		1	0	1	4	N											extracted
.21	DATA DESTINATION			1	0	0	0												extracted
.3	GROUP			1	0	0	0												extracted
.31	KEY	^DD("KEY",		5	0	1	159	N											extracted
.312	FIELD SUB-FIELD	^DD("KEY",	.31	3	0	0													extracted
.4	PRINT TEMPLATE	^DIPT(		25	2	5	2532	N											extracted
.4001	DESCRIPTION SUB-FIELD	^DIPT(	.4	1	0	0													extracted
.401	SORT TEMPLATE	^DIBT(		24	4	1	1701	N											extracted
.4011	SEARCH SPECIFICATIONS SUB-FIELD	^DIBT(	.401	1	0	0													extracted
.4011624	SORT RANGE DATA FOR BY(0) SUB-FIELD	^DIBT(	.401	6	0	0													extracted
.4012	DESCRIPTION SUB-FIELD	^DIBT(	.401	1	0	0													extracted
.4014	SORT FIELD DATA SUB-FIELD	^DIBT(	.401	29	0	1													extracted
.40141	MULTIPLE FIELD DATA SUB-FIELD	^DIBT(	.4014	2	0	0													extracted
.401418	RELATIONAL JUMP FIELD DATA SUB-FIELD	^DIBT(	.4014	6	0	0													extracted
.401419	OVERFLOW DATA SUB-FIELD	^DIBT(	.4014	3	0	0													extracted
.402	INPUT TEMPLATE	^DIE(		14	3	1	2194	N											extracted
.4021	DESCRIPTION SUB-FIELD	^DIE(	.402	1	0	0													extracted
.403	FORM	^DIST(.403,		19	0	0	251	N											extracted
.4031	PAGE SUB-FIELD	^DIST(.403,	.403	13	0	2													extracted
.403115	DESCRIPTION SUB-FIELD	^DIST(.403,	.4031	1	0	0													extracted
.40315	DESCRIPTION SUB-FIELD	^DIST(.403,	.403	1	0	0													extracted
.4032	BLOCK SUB-FIELD	^DIST(.403,	.4031	15	0	1													extracted
.404	BLOCK	^DIST(.404,		7	2	0	584	N											extracted
.40415	DESCRIPTION SUB-FIELD	^DIST(.404,	.404	1	0	0													extracted
.4044	FIELD SUB-FIELD	^DIST(.404,	.404	33	0	0													extracted
.404421	HELP SUB-FIELD	^DIST(.404,	.4044	1	0	0													extracted
.41	FILEGRAM/EXTR FILE SUB-FIELD	^DIPT(	.4	13	0	0													extracted
.411	FIELD NUMBER SUB-FIELD	^DIPT(	.41	6	0	0													extracted
.42	EXPORT FIELD SUB-FIELD	^DIPT(	.4	4	0	1													extracted
.44	FOREIGN FORMAT	^DIST(.44,		19	1	0	15	N											extracted
.441	OTHER NAME FOR FORMAT SUB-FIELD	^DIST(.44,	.44	2	0	0													extracted
.4411	DESCRIPTION FOR OTHER NAME SUB-FIELD	^DIST(.44,	.441	1	0	0													extracted
.447	DESCRIPTION SUB-FIELD	^DIST(.44,	.44	1	0	0													extracted
.448	USAGE NOTES SUB-FIELD	^DIST(.44,	.44	1	0	0													extracted
.46	IMPORT TEMPLATE	^DIST(.46,		9	0	2	1	N											extracted
.461	DESCRIPTION SUB-FIELD	^DIST(.46,	.46	1	0	0													extracted
