file_number	piks	piks_method	piks_confidence	piks_evidence	piks_source
.001	S	H-02	certain	file#=.001	auto
.007	S	H-02	certain	file#=.007	auto
.008	S	H-02	certain	file#=.008	auto
.009	S	H-02	certain	file#=.009	auto
.1	S	H-02	certain	file#=.1	auto
.101	S	H-02	certain	file#=.101	auto
.10101	S	H-02	certain	file#=.10101	auto
.10201	S	H-02	certain	file#=.10201	auto
.11	S	H-02	certain	file#=.11	auto
.1101	S	H-02	certain	file#=.1101	auto
.111	S	H-02	certain	file#=.111	auto
.112	S	H-02	certain	file#=.112	auto
.114	S	H-02	certain	file#=.114	auto
.12	S	H-02	certain	file#=.12	auto
.15	S	H-02	certain	file#=.15	auto
.2	S	H-02	certain	file#=.2	auto
.21	S	H-02	certain	file#=.21	auto
.3	S	H-02	certain	file#=.3	auto
.31	S	H-02	certain	file#=.31	auto
.312	S	H-02	certain	file#=.312	auto
.4	S	H-02	certain	file#=.4	auto
.4001	S	H-02	certain	file#=.4001	auto
.401	S	H-02	certain	file#=.401	auto
.4011	S	H-02	certain	file#=.4011	auto
.4011624	S	H-02	certain	file#=.4011624	auto
.4012	S	H-02	certain	file#=.4012	auto
.4014	S	H-02	certain	file#=.4014	auto
.40141	S	H-02	certain	file#=.40141	auto
.401418	S	H-02	certain	file#=.401418	auto
.401419	S	H-02	certain	file#=.401419	auto
.402	S	H-02	certain	file#=.402	auto
.4021	S	H-02	certain	file#=.4021	auto
.403	S	H-02	certain	file#=.403	auto
.4031	S	H-02	certain	file#=.4031	auto
.403115	S	H-02	certain	file#=.403115	auto
.40315	S	H-02	certain	file#=.40315	auto
.4032	S	H-02	certain	file#=.4032	auto
.404	S	H-02	certain	file#=.404	auto
.40415	S	H-02	certain	file#=.40415	auto
.4044	S	H-02	certain	file#=.4044	auto
.404421	S	H-02	certain	file#=.404421	auto
.41	S	H-02	certain	file#=.41	auto
.411	S	H-02	certain	file#=.411	auto
.42	S	H-02	certain	file#=.42	auto
.44	S	H-02	certain	file#=.44	auto
.441	S	H-02	certain	file#=.441	auto
.4411	S	H-02	certain	file#=.4411	auto
.447	S	H-02	certain	file#=.447	auto
.448	S	H-02	certain	file#=.448	auto
.46	S	H-02	certain	file#=.46	auto
.461	S	H-02	certain	file#=.461	auto
.463	S	H-02	certain	file#=.463	auto
.5	S	H-02	certain	file#=.5	auto
.6	S	H-02	certain	file#=.6	auto
.601	S	H-02	certain	file#=.601	auto
.602	S	H-02	certain	file#=.602	auto
.7	S	H-02	certain	file#=.7	auto
.81	S	H-02	certain	file#=.81	auto
.81101	S	H-02	certain	file#=.81101	auto
.81201	S	H-02	certain	file#=.81201	auto
.8121	S	H-02	certain	file#=.8121	auto
.81215	S	H-02	certain	file#=.81215	auto
