source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
Integrated Billing	Integrated Billing	8566	1717	1406
Scheduling	Scheduling	6699	1232	1018
IFCAP	IFCAP	6521	1255	1016
Registration	Registration	6172	1440	1264
Integrated Billing	VA FileMan	5961	1782	38
Lab Service	Lab Service	5132	992	744
Registration	VA FileMan	5010	1412	46
Outpatient Pharmacy	Outpatient Pharmacy	4778	664	612
Order Entry Results Reporting	Order Entry Results Reporting	4666	1065	989
VA FileMan	VA FileMan	4215	725	678
IFCAP	VA FileMan	3688	993	39
Inpatient Medications	Inpatient Medications	3326	465	423
Scheduling	VA FileMan	3076	1275	41
Text Integration Utility	Text Integration Utility	3000	425	315
Accounts Receivable	Accounts Receivable	2944	550	478
Kernel	Kernel	2551	623	443
Clinical Reminders	Clinical Reminders	2331	395	356
Surgery	Surgery	2172	549	473
Radiology Nuclear Medicine	Radiology Nuclear Medicine	2125	353	313
Integrated Billing	Kernel	2048	1169	34
Imaging	Imaging	1921	431	364
Lab Service	VA FileMan	1918	771	38
Outpatient Pharmacy	VA FileMan	1891	695	31
Fee Basis	Fee Basis	1854	334	249
Clinical Case Registries	Clinical Case Registries	1851	220	153
Registration	Kernel	1833	828	41
Scheduling	Kernel	1642	860	33
MailMan	MailMan	1575	218	167
PAID	PAID	1520	359	242
Accounts Receivable	VA FileMan	1500	566	35
PCE Patient Care Encounter	PCE Patient Care Encounter	1486	320	328
Prosthetics	Prosthetics	1410	345	274
Lexicon Utility	Kernel	1397	410	8
Nursing Service	Nursing Service	1341	225	164
E Claims Management Engine	E Claims Management Engine	1302	161	151
Automated Lab Instruments	Automated Lab Instruments	1299	292	151
Order Entry Results Reporting	Kernel	1291	541	41
Dietetics	Dietetics	1269	301	203
Oncology	Oncology	1262	372	325
Lexicon Utility	Lexicon Utility	1231	337	241
Kernel	VA FileMan	1218	496	49
Order Entry Results Reporting	VA FileMan	1187	579	23
Automated Information Collection System	VA FileMan	1173	224	30
Radiology Nuclear Medicine	VA FileMan	1126	390	31
Lab Service	Kernel	1114	479	33
Health Level Seven	Health Level Seven	1077	209	186
Fee Basis	VA FileMan	1076	393	31
Mental Health	Mental Health	1062	376	278
Surgery	VA FileMan	1017	515	19
Automated Information Collection System	Automated Information Collection System	1013	308	279
Integrated Billing	List Manager	1010	348	6
Prosthetics	VA FileMan	946	364	18
Outpatient Pharmacy	Kernel	939	397	34
VPE Shell	VPE Shell	872	163	156
DSS Extracts	DSS Extracts	855	161	122
Text Integration Utility	VA FileMan	840	352	31
Engineering	VA FileMan	831	324	32
Engineering	Engineering	814	248	207
Event Capture	Event Capture	806	175	216
Oncology	VA FileMan	802	362	21
Pharmacy Data Management	Pharmacy Data Management	800	203	226
Clinical Reminders	VA FileMan	786	330	24
Lexicon Utility	VA FileMan	756	390	16
Imaging	VA FileMan	753	343	23
Automated Medical Information Exchange	Automated Medical Information Exchange	742	202	164
National Online Information Sharing	National Online Information Sharing	736	154	154
Health Summary	Health Summary	735	214	120
DRG Grouper	DRG Grouper	729	164	193
Integrated Billing	Registration	717	421	68
Controlled Substances	VA FileMan	712	269	16
Toolkit	Toolkit	703	156	147
Inpatient Medications	VA FileMan	694	325	19
Accounts Receivable	Kernel	691	356	20
Consult Request Tracking	Consult Request Tracking	670	134	125
Womens Health	Womens Health	655	98	80
Medicine	Medicine	651	189	217
Event Capture	VA FileMan	628	269	18
PCE Patient Care Encounter	VA FileMan	625	264	24
General Medical Record - Vitals	General Medical Record - Vitals	613	191	181
Enterprise Health Management Platform	Enterprise Health Management Platform	612	101	89
Medicine	VA FileMan	611	234	21
Clinical Reminders	Kernel	606	305	15
Record Tracking	Record Tracking	601	114	116
Scheduling	Registration	599	337	71
Mental Health	VA FileMan	593	277	25
Uncategorized	VA FileMan	593	278	35
Automated Medical Information Exchange	VA FileMan	587	226	31
Patient Data Exchange	Patient Data Exchange	581	149	153
PAID	VA FileMan	575	246	22
Pharmacy Data Management	VA FileMan	571	233	22
MailMan	VA FileMan	557	191	19
Radiology Nuclear Medicine	Kernel	557	289	26
Barcode Medication Administration	Barcode Medication Administration	549	97	73
DSS Extracts	VA FileMan	526	227	14
Text Integration Utility	Kernel	524	248	28
Order Entry Results Reporting	Toolkit	511	320	4
Enrollment Application System	Enrollment Application System	504	117	107
Event Capture	Kernel	498	247	11
Uncategorized	Uncategorized	483	142	166
Imaging	Kernel	477	246	21
Clinical Case Registries	VA FileMan	473	155	17
Record Tracking	VA FileMan	450	111	19
Income Verification Match	Income Verification Match	442	111	122
Adverse Reaction Tracking	Adverse Reaction Tracking	431	112	94
DSS Extracts	Kernel	417	196	13
Health Level Seven	Kernel	416	158	18
Quasar	VA FileMan	402	83	28
Incomplete Records Tracking	VA FileMan	401	56	13
Emergency Department Integration Software	Emergency Department Integration Software	397	65	60
Automated Lab Instruments	VA FileMan	389	162	21
Remote Order Entry System	Remote Order Entry System	383	117	110
Virtual Patient Record	Virtual Patient Record	381	86	51
Controlled Substances	Controlled Substances	374	192	153
Dental	Dental	366	99	84
Mental Health	Kernel	363	170	28
Consult Request Tracking	VA FileMan	361	163	22
Fee Basis	Kernel	355	180	14
PCE Patient Care Encounter	Kernel	352	169	26
Nursing Service	VA FileMan	346	173	28
Health Summary	VA FileMan	343	177	18
Consult Request Tracking	Kernel	342	148	19
CMOP	CMOP	341	88	87
Outpatient Pharmacy	List Manager	338	171	6
Registration	List Manager	336	123	4
Dietetics	VA FileMan	335	186	16
Capacity Management	Capacity Management	332	74	56
DRG Grouper	Kernel	325	175	6
Toolkit	VA FileMan	318	145	27
Quasar	Quasar	316	64	58
Drug Accountability	Drug Accountability	314	95	92
Pharmacy Benefits Management	Pharmacy Benefits Management	312	80	94
HINQ	VA FileMan	307	85	24
DRG Grouper	VA FileMan	303	157	16
Problem List	Problem List	303	57	44
Automated Lab Instruments	Kernel	302	131	20
Clinical Case Registries	Kernel	302	134	14
Clinical Procedures	VA FileMan	302	97	14
Clinical Procedures	Clinical Procedures	298	93	69
Drug Accountability	VA FileMan	296	123	16
Scheduling	List Manager	294	126	6
Income Verification Match	Registration	292	102	75
Text Integration Utility	List Manager	287	127	5
My HealtheVet	My HealtheVet	286	84	29
Outpatient Pharmacy	Pharmacy Data Management	277	136	22
Adverse Reaction Tracking	VA FileMan	276	136	16
Outpatient Pharmacy	Registration	273	182	21
Automated Medical Information Exchange	Kernel	271	153	16
E Claims Management Engine	VA FileMan	267	142	16
CMOP	VA FileMan	263	112	9
IFCAP	Kernel	257	135	17
Enrollment Application System	VA FileMan	253	126	14
Accounts Receivable	List Manager	248	105	4
Inpatient Medications	Kernel	244	138	12
Surgery	Registration	242	207	8
Utilization Review	VA FileMan	239	35	13
Master Patient Index VistA	Master Patient Index VistA	235	62	36
VA Point of Service	VA Point of Service	232	36	30
Dental	VA FileMan	230	95	15
National Drug File	VA FileMan	230	96	15
Registration	Health Level Seven	226	129	12
Asists	VA FileMan	222	71	13
Barcode Medication Administration	VA FileMan	222	93	17
MailMan	Kernel	221	113	17
Occurrence Screen	VA FileMan	219	67	13
General Medical Record - IO	General Medical Record - IO	214	38	40
Dietetics	Kernel	213	184	7
Health Level Seven	VA FileMan	211	114	21
Hospital Based Home Care	Hospital Based Home Care	211	60	24
Adverse Reaction Tracking	Kernel	209	100	12
National Drug File	National Drug File	208	53	46
Automated Information Collection System	List Manager	203	91	5
Hines OIFO	Hines OIFO	202	24	25
Enrollment Application System	Registration	198	80	49
Health Summary	Kernel	198	115	12
Asists	Asists	197	55	51
Clinical Information Resource Network	Clinical Information Resource Network	197	58	58
Income Verification Match	VA FileMan	197	101	12
Pharmacy Data Management	Kernel	196	113	10
Registration	MailMan	192	168	10
Police and Security	VA FileMan	189	68	13
Uncategorized	Kernel	188	90	39
Health Data and Informatics	Health Data and Informatics	186	42	33
Order Entry Results Reporting	Registration	183	128	29
Enrollment Application System	Kernel	181	87	12
Womens Health	VA FileMan	180	80	23
General Medical Record - Vitals	Kernel	178	124	12
Scheduling	MailMan	176	156	12
HINQ	HINQ	175	52	71
Engineering	Kernel	174	86	15
Integrated Billing	Accounts Receivable	171	106	23
Beneficiary Travel	VA FileMan	169	56	22
Clinical Information Resource Network	Kernel	169	76	14
Inpatient Medications	List Manager	168	110	5
Vendor - Document Storage Systems	VA FileMan	167	71	16
Prosthetics	Kernel	166	137	12
Income Verification Match	Kernel	165	79	8
Toolkit	Kernel	163	91	19
Accounts Receivable	Registration	161	98	20
Automated Lab Instruments	Lab Service	160	81	39
Enterprise Health Management Platform	Kernel	160	73	10
Integrated Billing	MailMan	160	144	14
Lexicon Utility	DRG Grouper	160	47	4
E Claims Management Engine	Kernel	159	94	17
PAID	Kernel	159	117	14
VA Certified Components - DSSI	VA Certified Components - DSSI	159	48	40
Capacity Management	Kernel	158	76	9
Integrated Patient Fund	Integrated Patient Fund	158	32	25
Prosthetics	Registration	158	91	3
Barcode Medication Administration	Kernel	155	83	18
National Online Information Sharing	VA FileMan	155	95	12
Clinical Reminders	List Manager	152	54	4
Auto Replenishment Ward Stock	Auto Replenishment Ward Stock	151	65	43
RPC Broker	RPC Broker	147	30	27
Automated Information Collection System	Kernel	145	99	5
Virtual Patient Record	Kernel	145	59	12
Enterprise Health Management Platform	VA FileMan	143	70	14
Generic Code Sheet	Generic Code Sheet	143	34	31
Beneficiary Travel	Beneficiary Travel	140	34	33
Clinical Information Resource Network	VA FileMan	140	70	15
Womens Health	Kernel	140	72	9
Incomplete Records Tracking	Incomplete Records Tracking	139	60	58
Master Patient Index VistA	Registration	136	55	18
Virtual Patient Record	VA FileMan	136	77	11
General Medical Record - Vitals	VA FileMan	135	75	12
CMOP	Kernel	134	62	8
Order Entry Results Reporting	Pharmacy Data Management	134	63	27
VBECS	VBECS	134	38	28
Auto Replenishment Ward Stock	VA FileMan	128	74	8
Remote Order Entry System	VA FileMan	126	76	7
Controlled Substances	Kernel	125	76	8
Accounts Receivable	Integrated Billing	124	77	40
Police and Security	Police and Security	124	59	61
Inpatient Medications	Registration	123	77	13
Lab Service	Registration	122	93	10
IFCAP	MailMan	121	90	10
Inpatient Medications	Pharmacy Data Management	120	68	21
Clinical Information Resource Network	Registration	119	59	21
General Medical Record - Vitals	Registration	118	73	8
Master Patient Index VistA	Kernel	118	54	8
Vendor - Document Storage Systems	Vendor - Document Storage Systems	118	50	63
Problem List	VA FileMan	117	53	15
Accounts Receivable	MailMan	114	93	13
General Medical Record - Generator	General Medical Record - Generator	114	33	32
Nursing Service	Kernel	112	100	6
Pharmacy Data Management	National Drug File	111	60	5
Registration	Master Patient Index VistA	111	69	11
HINQ	Kernel	109	48	9
Integrated Billing	Health Level Seven	109	38	11
Order Entry Results Reporting	List Manager	109	52	3
HINQ	Registration	108	22	25
Mobile Scheduling Applications Suite	Mobile Scheduling Applications Suite	108	16	20
Order Entry Results Reporting	Text Integration Utility	108	38	42
Clinical Procedures	Kernel	107	72	16
Clinical Procedures	Toolkit	107	59	1
Registration	DRG Grouper	106	58	6
Automated Medical Information Exchange	Registration	104	50	27
National Online Information Sharing	Kernel	104	70	6
Registration	Scheduling	102	65	30
VBECS	VA FileMan	102	45	14
Problem List	Kernel	100	49	8
Kernel	MailMan	99	79	21
Outpatient Pharmacy	Order Entry Results Reporting	98	65	21
Emergency Department Integration Software	Kernel	97	51	13
Albany OIFO	VA FileMan	96	28	19
Order Entry Results Reporting	MailMan	95	84	9
Surgery	CPT HCPCS Codes	95	60	3
Capacity Management	VA FileMan	94	51	11
Consult Request Tracking	List Manager	94	50	3
IFCAP	Generic Code Sheet	94	32	5
VPE Shell	VA FileMan	94	34	24
Order Entry Results Reporting	Lab Service	93	35	26
Surgery	Kernel	93	60	8
Clinical Monitoring System	Clinical Monitoring System	92	50	28
My HealtheVet	Kernel	90	56	7
Patient Data Exchange	VA FileMan	90	52	13
Survey Generator	VA FileMan	90	34	8
Dental	VA Certified Components - DSSI	89	40	17
List Manager	List Manager	89	18	18
Mental Health	Registration	88	58	13
VA Certified Components - DSSI	VA FileMan	88	33	13
Health Data and Informatics	Kernel	87	42	11
National Drug File	Kernel	87	45	11
Screen Handler for Fileman	Screen Handler for Fileman	87	11	16
VA FileMan	Kernel	87	45	14
Clinical Monitoring System	VA FileMan	86	40	13
Equipment Turn-In Request	VA FileMan	86	36	10
