package	p_files	i_files	k_files	s_files	unclassified	total_distinct_files
Accounts Receivable	9	27	11	14	0	61
Adverse Reaction Tracking	8	0	0	0	0	8
Asists	0	32	0	0	0	32
Authorization Subscription	0	1	0	6	0	7
Auto Replenishment Ward Stock	2	4	9	3	0	18
Automated Information Collection System	39	1	0	0	0	40
Automated Lab Instruments	0	2	7	2	0	11
Automated Medical Information Exchange	21	1	0	0	0	22
Barcode Medication Administration	5	1	0	2	0	8
Beneficiary Travel	4	10	0	0	0	14
CMOP	0	2	0	1	0	3
CPT HCPCS Codes	0	0	1	1	0	2
Capacity Management	0	3	0	7	0	10
Care Management	1	2	0	0	0	3
Clinical Case Registries	16	4	0	0	0	20
Clinical Information Resource Network	1	1	0	5	0	7
Clinical Monitoring System	1	0	0	8	0	9
Clinical Procedures	29	7	3	4	0	43
Clinical Reminders	27	5	0	0	0	32
Consult Request Tracking	4	4	0	0	0	8
Controlled Substances	2	2	3	0	0	7
DRG Grouper	0	0	26	1	0	27
DSS Extracts	22	7	3	5	0	37
Dental	11	3	5	8	0	27
Dietetics	40	7	0	0	0	47
Drug Accountability	1	0	6	0	0	7
E Claims Management Engine	40	4	0	0	0	44
EEO Complaint Tracking	0	7	0	0	0	7
Electronic Health Modernization	0	0	0	2	0	2
Emergency Department Integration Software	15	5	0	0	0	20
Engineering	1	49	5	5	0	60
Enrollment Application System	5	10	0	0	0	15
Enterprise Health Management Platform	6	1	0	3	0	10
Enterprise Support Solution	1	0	0	0	0	1
Enterprise Terminology Services	0	2	7	1	0	10
Equipment Turn-In Request	0	7	0	0	0	7
Event Capture	9	1	0	0	0	10
Fee Basis	44	6	0	0	0	50
Foundations	0	1	0	0	0	1
Functional Independence	1	1	0	0	0	2
General Medical Record - Generator	4	0	0	0	0	4
General Medical Record - IO	11	0	0	0	0	11
General Medical Record - Vitals	6	0	0	0	0	6
Generic Code Sheet	0	4	5	0	0	9
HINQ	7	0	0	1	0	8
Health Data and Informatics	0	6	1	3	0	10
Health Level Seven	0	6	0	33	0	39
Health Summary	0	3	1	1	0	5
Hospital Based Home Care	10	5	2	5	0	22
Houston VAMC	0	0	0	8	0	8
IFCAP	3	134	0	0	0	137
Imaging	130	35	0	0	0	165
Income Verification Match	9	1	0	2	0	12
Incomplete Records Tracking	1	2	2	0	0	5
Inpatient Medications	1	3	21	0	0	25
Insurance Capture Buffer	4	1	0	0	0	5
Integrated Billing	203	18	2	1	0	224
Integrated Patient Fund	1	7	0	0	0	8
Interim Management Support	1	1	0	2	0	4
Kernel	1	25	7	44	0	77
Lab Service	9	22	45	3	0	79
Lexicon Utility	1	0	28	0	0	29
List Manager	1	0	0	0	0	1
MailMan	0	7	0	11	0	18
Master Patient Index VistA	2	0	0	2	0	4
Medicine	39	19	3	10	0	71
Mental Health	58	4	3	8	0	73
Methicillin Resistant Staph Aurerus Initiative Reports	1	1	1	1	0	4
Micom	0	0	1	6	0	7
My HealtheVet	3	0	0	4	0	7
National Drug File	0	1	20	0	0	21
Network Health Exchange	1	2	1	0	0	4
Nursing Service	24	4	3	1	0	32
ODS	1	8	0	0	0	9
Occurrence Screen	1	2	0	11	0	14
Oncology	1	3	62	0	0	66
Order Entry Results Reporting	14	9	36	5	0	64
Outpatient Pharmacy	15	5	17	2	0	39
PAID	0	43	0	0	0	43
PCE Patient Care Encounter	17	20	9	1	0	47
Patient Assessment Documentation	12	2	0	0	0	14
Patient Data Exchange	11	5	0	2	0	18
Pharmacy Benefits Management	1	0	0	0	0	1
Pharmacy Data Management	4	1	21	2	0	28
Police and Security	5	5	5	3	0	18
Problem List	5	2	0	0	0	7
Prosthetics	4	34	0	0	0	38
Quality Assurance Integration	0	1	0	2	0	3
Quasar	3	3	3	1	0	10
RPC Broker	0	1	0	1	0	2
Radiology Nuclear Medicine	35	4	0	1	0	40
Record Tracking	1	5	0	8	0	14
Registration	69	47	0	37	0	153
Release Of Information	17	11	0	0	0	28
Remote Order Entry System	1	13	0	0	0	14
Scheduling	67	25	2	5	0	99
Screen Handler for Fileman	0	0	0	2	0	2
Shift Handoff Tool	1	0	0	3	0	4
Silver Sprint OIFO Applications	0	0	0	1	0	1
Surgery	37	2	0	1	0	40
Survey Generator	0	1	0	3	0	4
Text Integration Utility	24	10	0	0	0	34
Toolkit	1	4	0	20	0	25
Uncategorized	0	0	0	4	0	4
Utilization Management Rollup	1	0	0	0	0	1
Utilization Review	1	1	0	0	0	2
VA FileMan	0	0	0	25	20	45
VA Point of Service	2	7	0	0	0	9
VA-DOD Sharing	0	0	0	1	0	1
VBECS	7	0	0	0	0	7
VDEF	5	0	1	1	0	7
VPE Shell	0	0	0	5	0	5
Vendor - ISI	0	2	1	1	0	4
Virtual Patient Record	2	0	0	0	0	2
VistALink	0	1	1	1	0	3
Visual Impairment Service Team	3	4	3	2	0	12
Web Services Client	0	1	0	2	0	3
West Palm Beach VAMC	3	2	0	0	0	5
Womens Health	18	7	0	0	0	25
Wounded Injured and Ill Warriors	2	0	0	0	0	2
