ien	name	item_text	type	package	entry_action	exit_action
18	ORB BLANK LINE	   	A			
19	ORRP STATUS MENU	Order Status	M			
20	ORRP ALL	All Orders	A		S ORPRES="1;ALL ORDERS"	
21	ORRP CURRENT	Active Orders	A		S ORPRES="2;ACTIVE ORDERS"	
22	ORRP DC	Discontinued Orders	A		S ORPRES="3;DISCONTINUED ORDERS"	
23	ORRP C/E	Completed/Expired Orders	A		S ORPRES="4;COMPLETED/EXPIRED ORDERS"	
24	ORRP EXPIRING	Expiring Orders	A		S ORPRES="5;EXPIRING ORDERS"	
25	ORRP PENDING	Pending Orders	A		S ORPRES="7;PENDING ORDERS"	
26	DGOERR ADMIT	ADMIT PATIENT	O	REGISTRATION	S DGPMT=1 D LO^DGUTL,OREN^DGPMV K VAINDT D INP^VADPT,READ^ORUTL	
27	DGOERR BED SWITCH	SWITCH BED	O	REGISTRATION	D LO^DGUTL,OREN^DGSWITCH K VAINDT D INP^VADPT,READ^ORUTL	
28	DGOERR DISCHARGE	DISCHARGE PATIENT	O	REGISTRATION	S DGPMT=3 D LO^DGUTL,OREN^DGPMV K VAINDT D INP^VADPT,READ^ORUTL	
29	DGOERR PATIENT INQUIRY	PATIENT INQUIRY	A	REGISTRATION	D OREN^DGRPD	
30	DGOERR SCHED ADMIT	SCHEDULE ADMISSION	O	REGISTRATION	D OREN^DGSCHAD,READ^ORUTL	
31	DGOERR TRANSFER	TRANSFER PATIENT	O	REGISTRATION	S DGPMT=2 D LO^DGUTL,OREN^DGPMV K VAINDT D INP^VADPT,READ^ORUTL	K DGPMASIH
32	DG OERR TREATING TRANSFER	TRANSFER SPECIALTY	O	REGISTRATION	S DGPMT=6 D LO^DGUTL,OREN^DGPMV K VAINDT D INP^VADPT,READ^ORUTL	
33	SD OERR CANCEL APPT	CANCEL CLINIC APPT	O	SCHEDULING	D OERR^SDCNP	D SDCNP^SDKILL
34	SD OERR MAKE APPT	SCHEDULE CLINIC APPT	O	SCHEDULING	D OERR^SDM	D SDM^SDKILL
35	RA OERR EXAM	RAD/NUC MED	O	RADIOLOGY/NUCLEAR MEDICINE	D ^RAORR	
43	LR EOSINO, ABSOLUTE	EOSINO, ABSOLUTE	L	LAB SERVICE	D EN^LRXO0	
44	LR GLUCOSE, STAT	GLUCOSE, STAT	L	LAB SERVICE	D EN^LRXO0	
45	LR PROTEIN,SYNOVIAL	PROTEIN,SYNOVIAL	L	LAB SERVICE	D EN^LRXO0	
46	LR PROTEIN,PERITONEAL	PROTEIN,PERITONEAL	L	LAB SERVICE	D EN^LRXO0	
47	LRM LAB ORDERS	LAB ORDER MENU	Q	LAB SERVICE		
48	LR PROTEIN,PLEURAL	PROTEIN,PLEURAL	L	LAB SERVICE	D EN^LRXO0	
49	LR WBC	WBC	L	LAB SERVICE	D EN^LRXO0	
50	LR RBC	RBC	L	LAB SERVICE	D EN^LRXO0	
51	LR HGB	HGB	L	LAB SERVICE	D EN^LRXO0	
52	LR HCT	HCT	L	LAB SERVICE	D EN^LRXO0	
53	LR MCV	MCV	L	LAB SERVICE	D EN^LRXO0	
54	LR MCH	MCH	L	LAB SERVICE	D EN^LRXO0	
55	LR MCHC	MCHC	L	LAB SERVICE	D EN^LRXO0	
56	LR DR. DEISS'	DR. DEISS'	L	LAB SERVICE	D EN^LRXO0	
57	LR PLATELET COUNT	PLATELET COUNT	L	LAB SERVICE	D EN^LRXO0	
58	LR MPV	MPV	L	LAB SERVICE	D EN^LRXO0	
59	LR SEGS	SEGS	L	LAB SERVICE	D EN^LRXO0	
60	LR BANDS	BANDS	L	LAB SERVICE	D EN^LRXO0	
61	LR LYMPHS	LYMPHS	L	LAB SERVICE	D EN^LRXO0	
62	LR MONOS	MONOS	L	LAB SERVICE	D EN^LRXO0	
63	LR EOSINO	EOSINO	L	LAB SERVICE	D EN^LRXO0	
64	LR BASO	BASO	L	LAB SERVICE	D EN^LRXO0	
65	LR META	META	L	LAB SERVICE	D EN^LRXO0	
66	LR MYELO	MYELO	L	LAB SERVICE	D EN^LRXO0	
67	LR PROS	PROS	L	LAB SERVICE	D EN^LRXO0	
68	LR PLT (ESTM)	PLT (ESTM)	L	LAB SERVICE	D EN^LRXO0	
69	LR NORMOCYTIC	NORMOCYTIC	L	LAB SERVICE	D EN^LRXO0	
70	LR NORMOCHROMIC	NORMOCHROMIC	L	LAB SERVICE	D EN^LRXO0	
71	LR ANISOCYTOSIS	ANISOCYTOSIS	L	LAB SERVICE	D EN^LRXO0	
72	LR POIKILOCYTOSIS	POIKILOCYTOSIS	L	LAB SERVICE	D EN^LRXO0	
73	LR MICROCYTOSIS	MICROCYTOSIS	L	LAB SERVICE	D EN^LRXO0	
74	LR MACROCYTOSIS	MACROCYTOSIS	L	LAB SERVICE	D EN^LRXO0	
75	LR POLYCHROMASIA	POLYCHROMASIA	L	LAB SERVICE	D EN^LRXO0	
76	LR HYPOCHROMIA	HYPOCHROMIA	L	LAB SERVICE	D EN^LRXO0	
77	LR TARGET CELLS	TARGET CELLS	L	LAB SERVICE	D EN^LRXO0	
78	LR ANTICOAGULANTS	ANTICOAGULANTS	L	LAB SERVICE	D EN^LRXO0	
79	LR ZZ PROTHROMBIN TIME	ZZ PROTHROMBIN TIME	L	LAB SERVICE	D EN^LRXO0	
80	LR ZZ PARTIAL THROMBOPLASTIN TIME	ZZ PARTIAL THROMBOPLASTIN TIME	L	LAB SERVICE	D EN^LRXO0	
81	LR FIBRINOGEN	FIBRINOGEN	L	LAB SERVICE	D EN^LRXO0	
82	LR FIBRIN SPLIT PRODUCTS	FIBRIN SPLIT PRODUCTS	L	LAB SERVICE	D EN^LRXO0	
83	LR BLEEDING TIME	BLEEDING TIME	L	LAB SERVICE	D EN^LRXO0	
84	LR THROMBIN TIME	THROMBIN TIME	L	LAB SERVICE	D EN^LRXO0	
85	LR VISCOSITY	VISCOSITY	L	LAB SERVICE	D EN^LRXO0	
86	LR LIQUIFACTION	LIQUIFACTION	L	LAB SERVICE	D EN^LRXO0	
87	LR MOTILITY	MOTILITY	L	LAB SERVICE	D EN^LRXO0	
88	LR SPERM COUNT	SPERM COUNT	L	LAB SERVICE	D EN^LRXO0	
89	LR MESOTHELIAL	MESOTHELIAL	L	LAB SERVICE	D EN^LRXO0	
90	LR CRYSTALS	CRYSTALS	L	LAB SERVICE	D EN^LRXO0	
91	LR FIO2	FIO2	L	LAB SERVICE	D EN^LRXO0	
92	LR O2HB%  (SAT)	O2HB%  (SAT)	L	LAB SERVICE	D EN^LRXO0	
93	LR COHB%	COHB%	L	LAB SERVICE	D EN^LRXO0	
94	LR METHB%	METHB%	L	LAB SERVICE	D EN^LRXO0	
95	LR O2CT.	O2CT.	L	LAB SERVICE	D EN^LRXO0	
96	LR PH 	PH 	L	LAB SERVICE	D EN^LRXO0	
97	LR PCO2	PCO2	L	LAB SERVICE	D EN^LRXO0	
98	LR BASE EXCESS	BASE EXCESS	L	LAB SERVICE	D EN^LRXO0	
99	LR BICARBONATE (SBC)	BICARBONATE (SBC)	L	LAB SERVICE	D EN^LRXO0	
100	LR CO2CT. (TCO2)	CO2CT. (TCO2)	L	LAB SERVICE	D EN^LRXO0	
101	LR PT. TEMP	PT. TEMP	L	LAB SERVICE	D EN^LRXO0	
102	LR PH AT PT. TEMP	PH AT PT. TEMP	L	LAB SERVICE	D EN^LRXO0	
103	LR PCO2 AT PT. TEMP	PCO2 AT PT. TEMP	L	LAB SERVICE	D EN^LRXO0	
104	LR WINTROBE*	WINTROBE*	L	LAB SERVICE	D EN^LRXO0	
105	LR CBC	CBC	L	LAB SERVICE	D EN^LRXO0	
106	LR ANTITHROMBIN III	ANTITHROMBIN III	L	LAB SERVICE	D EN^LRXO0	
107	LR HAM'S TEST	HAM'S TEST	L	LAB SERVICE	D EN^LRXO0	
108	LR HEMOGLOBIN A1C	HEMOGLOBIN A1C	L	LAB SERVICE	D EN^LRXO0	
109	LR LE PREP	LE PREP	L	LAB SERVICE	D EN^LRXO0	
110	LR OSMOTIC FRAGILITY	OSMOTIC FRAGILITY	L	LAB SERVICE	D EN^LRXO0	
111	LR RETICULOCYTES	RETICULOCYTES	L	LAB SERVICE	D EN^LRXO0	
112	LR SICKLE CELL PREP	SICKLE CELL PREP	L	LAB SERVICE	D EN^LRXO0	
113	LR SUGAR WATER TEST	SUGAR WATER TEST	L	LAB SERVICE	D EN^LRXO0	
114	LR ZZ B-12	ZZ B-12	L	LAB SERVICE	D EN^LRXO0	
115	LR IRON	IRON	L	LAB SERVICE	D EN^LRXO0	
116	LR TIBC	TIBC	L	LAB SERVICE	D EN^LRXO0	
117	LR DIGITOXIN	DIGITOXIN	L	LAB SERVICE	D EN^LRXO0	
118	LR DIGOXIN	DIGOXIN	L	LAB SERVICE	D EN^LRXO0	
119	LR T-4	T-4	L	LAB SERVICE	D EN^LRXO0	
120	LR FOLATE	FOLATE	L	LAB SERVICE	D EN^LRXO0	
121	LR TSH	TSH	L	LAB SERVICE	D EN^LRXO0	
122	LR INSULIN	INSULIN	L	LAB SERVICE	D EN^LRXO0	
123	LR HCG	HCG	L	LAB SERVICE	D EN^LRXO0	
124	LR FERRITIN	FERRITIN	L	LAB SERVICE	D EN^LRXO0	
125	LR CORTISOL	CORTISOL	L	LAB SERVICE	D EN^LRXO0	
126	LR ALPHA-FETOPROTEIN	ALPHA-FETOPROTEIN	L	LAB SERVICE	D EN^LRXO0	
127	LR IRON SATURATION	IRON SATURATION	L	LAB SERVICE	D EN^LRXO0	
128	LR GONADOTROPINS	GONADOTROPINS	L	LAB SERVICE	D EN^LRXO0	
129	LR TRIIODOTHYRONINE	TRIIODOTHYRONINE	L	LAB SERVICE	D EN^LRXO0	
130	LR ALPHA-1-ANTITRYPSIN	ALPHA-1-ANTITRYPSIN	L	LAB SERVICE	D EN^LRXO0	
131	LR ANA	ANA	L	LAB SERVICE	D EN^LRXO0	
132	LR ANTISTREPTOLYSIN SC	ANTISTREPTOLYSIN SC	L	LAB SERVICE	D EN^LRXO0	
133	LR ASO	ASO	L	LAB SERVICE	D EN^LRXO0	
134	LR C-REACTIVE PROTEIN	C-REACTIVE PROTEIN	L	LAB SERVICE	D EN^LRXO0	
135	LR COLD AGGLUTININS	COLD AGGLUTININS	L	LAB SERVICE	D EN^LRXO0	
136	LR COMPLEMENT C3	COMPLEMENT C3	L	LAB SERVICE	D EN^LRXO0	
137	LR COMPLEMENT C4	COMPLEMENT C4	L	LAB SERVICE	D EN^LRXO0	
138	LR CRYOGLOBULINS	CRYOGLOBULINS	L	LAB SERVICE	D EN^LRXO0	
