ien	name	tag	routine	return_type	availability	inactive	version
1	XWB EGCHO STRING	ECHO1	XWBZ1	1	R		
2	XWB EGCHO LIST	LIST	XWBZ1	2	R		
3	XWB EGCHO BIG LIST	BIG	XWBZ1	4	R		
4	XWB EGCHO SORT LIST	SRT	XWBZ1	2	R		
5	XWB EGCHO MEMO	MEMO	XWBZ1	4	R		
6	XWB FILE LIST	FILELIST	XWBFM	2	R		
7	XWB FILENAME CHECK	FILECHK	XWBFM	1	R		
8	XWB RPC LIST	APILIST	XWBFM	2	R		
9	XWB GET VARIABLE VALUE	VARVAL	XWBLIB	1	S	0	1
10	XUS SIGNON SETUP	SETUP	XUSRB	2	S		1
11	XUS SEND KEYS	SENDKEYS	XUSRB	2	R		
12	XUS AV CODE	VALIDAV	XUSRB	2	R		1
13	XUS INTRO MSG	INTRO	XUSRB	3	R		
14	XWB CREATE CONTEXT	CRCONTXT	XWBSEC	1	S	0	1
15	SC LISTER	LISTC	SCUTBK	2	P		
16	SC FILER	FILEC	SCUTBK	2	P		
17	SC DELETE ENTRY	DIKC	SCUTBK1	1	P		
18	SC FIND	FINDC	SCUTBK2	2	P		
19	SC FILE NUMBER	FILENOC	SCUTBK1	1	P		
20	SC GLOBAL NODE	NODEC	SCUTBK1	1	P		
21	SC GETS ENTRY DATA	GETSC	SCUTBK2	2	P		
22	SC LOCK/UNLOCK NODE	LOCKC	SCUTBK1	1	P		
23	SC VALIDATOR	VALC	SCUTBK	2	P		
24	SC GLOBAL NODE COUNT	GLCNT	SCUTBK1	1	P		
25	SC PRTP	PRTP	SCUTBK1	1	P		
26	SC MAILMAN	MAILC	SCUTBK10	1	P		
27	SC NEW HISTORY OK	NEWHIST	SCUTBK10	1	P		
28	SC CHANGE HISTORY OK	CHGDTC	SCUTBK10	1	P		
29	SC INACTIVATE ENTRY	INACTC	SCUTBK10	1	P		
30	SC DELETE HISTORY	DELDTC	SCUTBK10	1	P		
31	SC HISTORY STATUS OK	NEWSTC	SCUTBK10	1	P		
32	SC MEAN TEST	MNTEST	SCUTBK10	1	P		
33	SC TEAM LIST	TMLST	SCUTBK11	2	P		
34	SC PATIENT LOOKUP	FINDP	SCUTBK11	4	R		
35	SC POSITION MEMBERS	PSLST	SCUTBK11	2	P		
36	SC FILE SINGLE VALUE	VFILE	SCUTBK11	1	P		
37	SCTM AUTOLINK GETRECORD	GETREC	SCAPMCU3	2	R		
38	SC KEY CHECK	SECKEY	SCUTBK11	1	P		
39	SCTM AUTOLINK SETRECORD	SETREC	SCAPMCU3	1	R		
40	SCTM AUTOLINK GETLINK	GETLINK	SCAPMCU3	2	R		
41	SCRP DEFINITION GETRECORD	GETREC	SCRPBK	2	R		
42	SCUT GET USER RECORD	GETUSER	SCUTBK3	2	R		
43	SCRP QUERY GETRECORD	GETREC	SCRPBK0	2	R		
44	SCRP SELECTION SOURCE	GETDATA	SCRPBK1	4	R		
45	SCRP FILE ENTRY GETSELECTION	GETSEL	SCRPBK11	2	R		
46	SCRP QUERY SAVE	SAVE	SCRPBK2	2	R		
47	SCRP QUERY VALIDATE	VALID	SCRPBK4	2	R		
48	SCRP QUERY DELETE	DELETE	SCRPBK2	2	R		
49	SCRP QUERY CHECK NAME	NAME	SCRPBK2	2	R		
50	SCUT SET USER QUERY DEFAULT	SETDEF	SCUTBK3	2	R		
51	SCRP REPORT PRINT	PRINT	SCRPBK3	2	R		
52	SC STAFF LOOKUP	STAFFLK	SCUTBK12	2	P		
53	SC USER CLASS STATUS	CHKUSR	SCUTBK12	1	P		
54	SC PRIMARY CARE TEAM	GETPC	SCUTBK12	1	P		
55	SC GET PAT BLOCK	PTGET	SCMCBK	2	P		
56	SC BLD PAT LIST	PTLSTBLD	SCMCBK	1	P		
57	SC FILE PAT TM ASGN	PTFILE	SCMCBK	2	P		
58	SC BLD PAT CLN LIST	PTCLBLD	SCMCBK	1	P		
59	SC FILE PAT POS ASGN	POSFILE	SCMCBK	2	P		
60	SC BLD PAT SCDE LIST	PTSCBLD	SCMCBK	1	P		
61	SC BLD PAT TM LIST	PTTMBLD	SCMCBK	1	P		
62	SC BLD PAT POS LIST	PTPSBLD	SCMCBK	1	P		
63	SC PAT ENROLL CLN	PTCLEN	SCMCBK1	1	P		
64	SC CHECK FOR PC POS	CHKPOS	SCMCBK1	1	P		
65	SC FILE ALL PAT TM ASGN	ASGNALL	SCMCBK1	2	P		
66	SC BLD PAT APT LIST	PTAPBLD	SCMCBK	1	P		
67	SC FILE ALL PAT POS ASGN	ASGALLP	SCMCBK1	2	P		
68	SC BLD NOPC TM LIST	NOPCTM	SCMCBK1	1	P		
69	SC PAT ASGN MAILMAN	PTASGMM	SCUTBK10	1	P		
70	TIU NOTES	NOTES	TIUSRVLO	4	S		
71	TIU GET RECORD TEXT	TGET	TIUSRVR1	4	S		
72	TIU SUMMARIES	SUMMARY	TIUSRVLO	4	S		
73	TIU NOTES BY VISIT	NOTES	TIUSRVLV	4	S		
74	TIU SUMMARIES BY VISIT	SUMMARY	TIUSRVLV	4	S		
75	TIU GET PN TITLES	NOTES	TIUSRVD	2	S		
76	TIU GET DS TITLES	SUMMARY	TIUSRVD	2			
77	TIU LOAD BOILERPLATE TEXT	BLRSHELL	TIUSRVD	4	S		
78	TIU SIGN RECORD	SIGN	TIUSRVP	1	S		
79	TIU GET PERSONAL PREFERENCES	GETPREF	TIUSRVR	1	S		
80	TIU UPDATE RECORD	UPDATE	TIUSRVP	1	S		
81	TIU REQUIRES COSIGNATURE	REQCOS	TIUSRVA	1	S		
82	TIU LOAD RECORD FOR EDIT	GET4EDIT	TIUSRVR	4	S		
83	TIU DETAILED DISPLAY	RPC	TIUSRV	4	S		
84	TIU CREATE ADDENDUM RECORD	MAKEADD	TIUSRVP	1	S		
85	TIU CREATE RECORD	MAKE	TIUSRVP	1	S		
86	TIU DELETE RECORD	DELETE	TIUSRVP	1	S		
87	TIU PRINT RECORD	RPC	TIUPD	1	S		
88	TIU GET DOCUMENT PARAMETERS	DOCPARM	TIUSRVP1	2	S		
89	TIU GET DS URGENCIES	URGENCY	TIUSRVA	2	S		
90	TIU AUTHORIZATION	CANDO	TIUSRVA	1	S		
91	TIU DOCUMENTS BY CONTEXT	CONTEXT	TIUSRVLO	4	S		
92	TIU NOTES 16 BIT	NOTES	TIUSRVLC	4	S		
93	TIU WHICH SIGNATURE ACTION	WHATACT	TIUSRVA	1	S		
94	IBD EXPAND FORMID	IDPAT	IBDFRPC3	1	P	1	
95	IBD GET FORMSPEC	GETFS	IBDFBK1	2	R	1	
96	IBD GET INPUT OBJECT BY CLINIC	CLNLSTI	IBDFRPC	2	P		
97	IBD GET INPUT OBJECT BY FORM	FRMLSTI	IBDFRPC	2	P		
98	IBD GET ONE INPUT OBJECT	OBJLST	IBDFRPC1	2	P		
99	IBD RECEIVE FORM DATA	RECV	IBDFBK2	2	R	1	
100	IBD VALIDATE USER	VALIDAV	IBDFBK1	1	R	1	
101	IBD RECEIVE DATA	SEND	IBDFRPC4	2	P	1	
102	IBD RETURN IMAGE ID	IMAGEID	IBDFBK1	1	P	1	
103	IBD ELAPSED TIME	ETIME	IBDFBK1	1	P	1	
104	IBD STORE WORKSTATION ERROR	WSERR	IBDFBK1	1	P	1	
105	IBD STORE IMAGE NAME	IMAGENM	IBDFBK1	1	P	1	
106	IBD GET ALL PCE DATA	GETALL	IBDFRPC5	2	P	1	
107	IBD GET PAST APPT LIST	APPTLST	IBDFRPC5	2	P	1	
108	XWB EXAMPLE ECHO STRING	ECHOSTR	XWBEXMPL	1	R		
109	XWB EXAMPLE GET LIST	GETLIST	XWBEXMPL	4	R		
110	XWB EXAMPLE WPTEXT	WPTEXT	XWBEXMPL	3	R		
111	XWB EXAMPLE SORT NUMBERS	SORTNUM	XWBEXMPL	2	R		
112	XUS KEY CHECK	OWNSKEY	XUSRB	2	P		1
113	XUS CVC	CVC	XUSRB	2	R		
114	XUS AV HELP	AVHELP	XUSRB	2	R		
115	SDOE GET DIAGNOSES	GETDX	SDOERPC	2	P		
116	SDOE GET PROVIDERS	GETPRV	SDOERPC	2	P		
117	SDOE GET PROCEDURES	GETCPT	SDOERPC	2	P		
118	SDOE ASSIGNED A PROVIDER	PRV	SDOERPC	1	P		
119	SDOE ASSIGNED A DIAGNOSIS	DX	SDOERPC	1	P		
120	SDOE ASSIGNED A PROCEDURE	CPT	SDOERPC	1	P		
121	SDOE FIND PROVIDER	FINDPRV	SDOERPC	1	P		
122	SDOE FIND DIAGNOSIS	FINDDX	SDOERPC	1	P		
123	SDOE FIND PROCEDURE	FINDCPT	SDOERPC	1	P		
124	SDOE FIND FIRST STANDALONE	EXAE	SDOERPC	1	P		
125	SDOE GET PRIMARY DIAGNOSIS	GETPDX	SDOERPC	1	P		
126	SDOE FIND FIRST ENCOUNTER	EXOE	SDOERPC	1	P		
127	SDOE FIND LAST STANDALONE	GETLAST	SDOERPC	1	P		
128	SDOE GET GENERAL DATA	GETGEN	SDOERPC	2	P		
129	SDOE PARSE GENERAL DATA	PARSE	SDOERPC	2	P		
130	SDOE GET ZERO NODE	GETOE	SDOERPC	1	P		
131	SDOE LIST ENCOUNTERS FOR DATES	LIST	SDOERPC	4	P		
132	SDOE LIST ENCOUNTERS FOR PAT	LISTPAT	SDOERPC	4	P		
133	SDOE LIST ENCOUNTERS FOR VISIT	LISTVST	SDOERPC	4	P		
134	TIU IS THIS A CONSULT?	ISCNSLT	TIUCNSLT	1	S		
135	TIU LONG LIST OF TITLES	LONGLIST	TIUSRVD	2	S		
136	TIU PERSONAL TITLE LIST	PERSLIST	TIUSRVD	2	S		
137	TIU LONG LIST CONSULT TITLES	LNGCNSLT	TIUSRVD	2	S		
138	TIU IDENTIFY CONSULTS CLASS	CNSLCLAS	TIUSRVD	1	S		
139	ORQQAL LIST	LIST	ORQQAL	2	S		
140	ORQQAL DETAIL	DETAIL	ORQQAL	2	S		
141	ORQQPL LIST	LIST	ORQQPL	2	S		
142	ORQQPL DETAIL	DETAIL	ORQQPL	2	S		
143	ORQQXQA PATIENT	PATIENT	ORQQXQA	2	S		
144	ORQQXQA USER	USER	ORQQXQA	2	S		
145	ORQQVI VITALS	FASTVIT	ORQQVI	2	R		
146	ORQPT DEFAULT PATIENT LIST	DEFLIST	ORQPTQ11	4	S		
147	ORQPT PROVIDERS	PROV	ORQPTQ2	2	S		
148	ORQPT PROVIDER PATIENTS	PROVPTS	ORQPTQ2	2	S		
149	ORQPT CLINIC PATIENTS	CLINPTS	ORQPTQ2	2	S		
150	ORQPT SPECIALTIES	SPEC	ORQPTQ2	2	S		
151	ORQPT SPECIALTY PATIENTS	SPECPTS	ORQPTQ2	2	S		
